dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.662742,120.875405,0.023826,2.382609,119.130435,5956.521739,0.022843
0.020000,22.696276,120.876166,0.057368,1.677090,-35.275950,-7720.319258,0.022661
0.020000,22.912338,120.881019,0.273485,10.805858,456.438402,24585.717636,0.022253
0.020000,23.272433,120.888912,0.633666,18.009049,360.159546,-4813.942833,0.021577
0.020000,23.776544,120.899553,1.137889,25.211169,360.106033,-2.675657,0.020637
0.020000,24.424649,120.912542,1.786125,32.411780,360.030516,-3.775819,0.019442
0.020000,25.216720,120.927370,2.578334,39.610455,359.933767,-4.837479,0.018000
0.020000,26.152717,120.943432,3.514469,46.806758,359.815132,-5.931735,0.016323
0.020000,27.232595,120.960031,4.594474,54.000259,359.675077,-7.002755,0.014424
0.020000,28.456295,120.976391,5.818285,61.190513,359.512705,-8.118609,0.012320
0.020000,29.823752,120.991664,7.185826,68.377088,359.328728,-9.198813,0.010028
0.020000,31.334884,121.004949,8.697017,75.559541,359.122653,-10.303788,0.007568
0.020000,32.989601,121.015303,10.351766,82.737432,358.894574,-11.403937,0.004962
0.020000,34.787795,121.021757,12.149972,89.910321,358.644419,-12.507742,0.002234
0.020000,36.729350,121.023334,14.091528,97.077762,358.372051,-13.618376,6.282597
0.020000,38.814132,121.019071,16.176314,104.239318,358.077797,-14.712702,6.279708
0.020000,41.041996,121.008035,18.404205,111.394546,357.761393,-15.820197,6.276783
0.020000,43.412782,120.989348,20.775065,118.543005,357.422951,-16.922105,6.273855
0.020000,45.926321,120.962210,23.288750,125.684259,357.062729,-18.011094,6.270959
0.020000,48.582430,120.925925,25.945108,132.817871,356.680605,-19.106219,6.268132
0.020000,51.380920,120.879926,28.743976,139.943407,356.276763,-20.192110,6.265412
0.020000,54.321594,120.823803,31.685184,147.060432,355.851299,-21.273212,6.262842
0.020000,57.404247,120.757336,34.768555,154.168517,355.404250,-22.352442,6.260465
0.020000,60.604798,120.681111,37.970013,160.072930,295.220630,-3009.180988,6.258341
0.020000,63.875346,120.596779,41.241648,163.581742,175.440618,-5989.000593,6.256532
0.020000,67.168093,120.506503,44.535632,164.699207,55.873216,-5978.370102,6.255081
0.020000,70.459187,120.412107,47.828080,164.622373,-3.841670,-2985.744317,6.254003
0.020000,73.748660,120.314822,51.118991,164.545547,-3.841328,0.017087,6.253297
0.020000,77.036546,120.215873,54.408365,164.468725,-3.841100,0.011440,6.252964
0.020000,80.322881,120.116488,57.696203,164.391904,-3.841032,0.003384,6.253003
0.020000,83.607703,120.017890,60.982505,164.315081,-3.841148,-0.005802,6.253415
0.020000,86.891048,119.921302,64.267270,164.238252,-3.841438,-0.014507,6.254199
0.020000,90.172949,119.827943,67.550498,164.161415,-3.841890,-0.022584,6.255356
0.020000,93.453436,119.739034,70.832190,164.084566,-3.842440,-0.027517,6.256885
0.020000,96.732533,119.655791,74.112344,164.007706,-3.843010,-0.028472,6.258787
0.020000,100.010261,119.579433,77.390960,163.930836,-3.843493,-0.024176,6.261062
0.020000,103.286629,119.511172,80.668040,163.853961,-3.843760,-0.013326,6.263709
0.020000,106.561640,119.452224,83.943581,163.777088,-3.843652,0.005361,6.266729
0.020000,109.742015,119.401480,87.124361,159.038969,-236.905911,-11653.112919,6.259438
0.020000,113.239273,119.227694,90.625934,175.078682,801.985650,51944.578049,6.207564
0.020000,116.723184,118.872423,94.127912,175.098907,1.011214,-40048.721800,6.155596
0.020000,120.181726,118.337829,97.627527,174.980726,-5.909053,-346.013376,6.104201
0.020000,123.603657,117.629248,101.122051,174.726219,-12.725345,-340.814594,6.054044
0.020000,126.979145,116.754896,104.608943,174.344593,-19.081276,-317.796523,6.005746
0.020000,130.300264,115.725380,108.085972,173.851451,-24.657103,-278.791373,5.959846
0.020000,133.561301,114.553051,111.551332,173.267977,-29.173691,-225.829384,5.916784
0.020000,136.758828,113.251346,115.003667,172.616757,-32.561025,-169.366710,5.876890
0.020000,139.891585,111.834175,118.442059,171.919584,-34.858617,-114.879579,5.840384
0.020000,142.960232,110.315426,121.865973,171.195745,-36.191978,-66.668084,5.807398
0.020000,145.967040,108.708604,125.275192,170.460939,-36.740317,-27.416945,5.777981
0.020000,148.915553,107.026596,128.669730,169.726864,-36.703712,1.830269,5.752131
0.020000,151.810280,105.281555,132.049761,169.001549,-36.265785,21.896318,5.729803
0.020000,154.656420,103.484869,135.415558,168.289866,-35.584122,34.083181,5.710931
0.020000,157.459634,101.647197,138.767430,167.593629,-34.811879,38.612138,5.695439
0.020000,160.225872,99.778541,142.105686,166.912755,-34.043676,38.410132,5.683251
0.020000,162.961237,97.888348,145.430600,166.245703,-33.352627,34.552492,5.674300
0.020000,165.671880,95.985621,148.742390,165.589525,-32.808892,27.186718,5.668531
0.020000,168.363931,94.079041,152.041205,164.940751,-32.438666,18.511308,5.665909
0.020000,171.043438,92.177087,155.327112,164.295353,-32.269920,8.437320,5.666417
0.020000,173.716324,90.288147,158.600095,163.649164,-32.309446,-1.976297,5.670057
0.020000,176.388349,88.420631,161.860054,162.997923,-32.562038,-12.629622,5.676854
0.020000,179.065065,86.583072,165.106811,162.337873,-33.002521,-22.024156,5.686849
0.020000,181.751773,84.784213,168.340121,161.665487,-33.619297,-30.838811,5.700101
0.020000,184.453470,83.033082,171.559690,160.978469,-34.350912,-36.580715,5.716682
0.020000,187.174777,81.339047,174.765196,160.275300,-35.158411,-40.374984,5.736667
0.020000,189.919869,79.711834,177.956332,159.556798,-35.925142,-38.336529,5.760132
0.020000,192.692370,78.161524,181.132844,158.825576,-36.561092,-31.797492,5.787136
0.020000,195.495258,76.698492,184.294591,158.087349,-36.911345,-17.512653,5.817712
0.020000,198.330752,75.333295,187.441619,157.351404,-36.797240,5.705225,5.851850
0.020000,201.200203,74.076500,190.574236,156.630839,-36.028260,38.448996,5.889474
0.020000,204.104010,72.938450,193.693090,155.942689,-34.407484,81.038830,5.930426
0.020000,207.041545,71.928973,196.799238,155.307402,-31.764383,132.155020,5.974450
0.020000,210.011137,71.057052,199.894189,154.747581,-27.991020,188.668177,6.021181
0.020000,213.010080,70.330480,202.979892,154.285158,-23.121169,243.492530,6.070146
0.020000,216.034745,69.755534,206.058717,153.941250,-17.195383,296.289308,6.120776
0.020000,219.080664,69.336718,209.133295,153.728902,-10.617409,328.898692,6.172431
0.020000,222.142739,69.076581,212.206400,153.655216,-3.684318,346.654557,6.224441
0.020000,225.215454,68.975645,215.280773,153.718648,3.171634,342.797612,6.276145
0.020000,228.204947,69.023403,218.270647,149.493716,-211.246620,-10720.912692,0.040205
0.020000,231.248396,69.230824,221.321156,152.525459,151.587160,18141.688972,0.097677
0.020000,234.227278,69.622820,224.325719,150.228119,-114.867010,-13322.708465,0.166245
0.020000,237.113295,70.225704,227.274034,147.415776,-140.617158,-1287.507439,0.248389
0.020000,239.870075,71.065937,230.156017,144.099157,-165.830950,-1260.689592,0.346536
0.020000,242.454948,72.166825,232.965559,140.477106,-181.102533,-763.579149,0.462147
0.020000,244.824960,73.544911,235.707106,137.077311,-169.989757,555.638825,0.594135
0.020000,246.946002,75.208041,238.402438,134.766645,-115.533275,2722.824094,0.737252
0.020000,248.795126,77.150176,241.084070,134.081585,-34.253020,4064.012752,0.881887
0.020000,250.355514,79.334475,243.768465,134.219729,6.907207,2058.011325,1.016566
0.020000,251.624673,81.688666,246.442970,133.725255,-24.723703,-1581.545481,1.132855
0.020000,252.623596,84.127392,249.078351,131.769038,-97.810872,-3654.358474,1.228081
0.020000,253.392281,86.582272,251.650764,128.620685,-157.417626,-2980.337675,1.304006
0.020000,253.975187,89.008625,254.146154,124.769505,-192.558993,-1757.068379,1.364008
0.020000,254.411346,91.373764,256.551174,120.250962,-225.927137,-1668.407183,1.411298
0.020000,254.733415,93.654683,258.854718,115.177216,-253.687319,-1388.009116,1.448554
0.020000,254.967903,95.835418,261.048023,109.665273,-275.597177,-1095.492887,1.477891
0.020000,255.135943,97.904889,263.124306,103.814117,-292.557789,-848.030572,1.500949
0.020000,255.254178,99.855316,265.078313,97.700386,-305.686528,-656.436980,1.518998
0.020000,255.335599,101.681133,266.905945,91.381589,-315.939839,-512.665557,1.533031
0.020000,255.390255,103.378271,268.603963,84.900904,-324.034277,-404.721875,1.543831
0.020000,255.425843,104.943663,270.169760,78.289821,-330.554147,-325.993484,1.552029
0.020000,255.448182,106.374948,271.601219,71.572956,-335.843260,-264.455683,1.558138
0.020000,255.461591,107.670247,272.896587,64.768406,-340.227497,-219.211845,1.562583
0.020000,255.469210,108.828033,274.054399,57.890578,-343.891366,-183.193432,1.565719
0.020000,255.473251,109.847047,275.073420,50.951065,-346.975689,-154.216159,1.567845
0.020000,255.475213,110.726238,275.952613,43.959658,-349.570352,-129.733133,1.569213
0.020000,255.476061,111.464733,276.691109,36.924802,-351.742785,-108.621653,1.570033
