dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.487351,113.357483,0.023826,2.382609,119.130435,5956.521739,6.283037
0.020000,23.509962,113.357483,0.046437,1.130538,-62.603528,-9086.698138,0.000044
0.020000,23.726172,113.357539,0.262647,10.810484,483.997306,27330.041681,0.000474
0.020000,24.086503,113.357839,0.622978,18.016571,360.304340,-6184.648280,0.001187
0.020000,24.590929,113.358687,1.127404,25.221315,360.237215,-3.356246,0.002176
0.020000,25.239409,113.360506,1.775888,32.424164,360.142437,-4.738883,0.003431
0.020000,26.031894,113.363826,2.568379,39.624582,360.020914,-6.076192,0.004942
0.020000,26.968319,113.369276,3.504820,46.822027,359.872230,-7.434189,0.006693
0.020000,28.048606,113.377577,4.585139,54.015945,359.695892,-8.816872,0.008667
0.020000,29.272663,113.389527,5.809255,61.205794,359.492462,-10.171508,0.010846
0.020000,30.640385,113.405984,7.177075,68.391031,359.261840,-11.531134,0.013205
0.020000,32.151649,113.427856,8.688497,75.571100,359.003442,-12.919876,0.015722
0.020000,33.806317,113.456076,10.343406,82.745450,358.717533,-14.295443,0.018366
0.020000,35.604237,113.491589,12.141677,89.913537,358.404337,-15.659830,0.021109
0.020000,37.545241,113.535320,14.083173,97.074809,358.063577,-17.037960,0.023917
0.020000,39.629145,113.588162,16.167747,104.228717,357.695419,-18.407941,0.026755
0.020000,41.855755,113.650940,18.395242,111.374716,357.299953,-19.773289,0.029584
0.020000,44.224862,113.724390,20.765487,118.512260,356.877219,-21.136684,0.032363
0.020000,46.736249,113.809127,23.278303,125.640808,356.427354,-22.493257,0.035049
0.020000,49.389691,113.905613,25.933499,132.759817,355.950471,-23.844129,0.037594
0.020000,52.184961,114.014125,28.730874,139.868749,355.446599,-25.193602,0.039952
0.020000,55.121827,114.134725,31.670216,146.967066,354.915851,-26.537437,0.042069
0.020000,58.200062,114.267213,34.751300,154.054230,354.358196,-27.882743,0.043892
0.020000,61.395602,114.410020,37.950030,159.936486,294.112788,-3012.270401,0.045355
0.020000,64.660629,114.560035,41.218502,163.423579,174.354683,-5987.905241,0.046396
0.020000,67.947454,114.713733,44.508918,164.520817,54.861888,-5974.639750,0.046982
0.020000,71.232307,114.868502,47.797415,164.424840,-4.798851,-2983.036952,0.047103
0.020000,74.515259,115.022813,51.083992,164.328862,-4.798904,-0.002632,0.046758
0.020000,77.796383,115.175138,54.368649,164.232876,-4.799317,-0.020638,0.045947
0.020000,81.075746,115.323954,57.651387,164.136874,-4.800082,-0.038291,0.044672
0.020000,84.353410,115.467739,60.932204,164.040852,-4.801092,-0.050485,0.042931
0.020000,87.629433,115.604973,64.211100,163.944808,-4.802208,-0.055823,0.040724
0.020000,90.903862,115.734139,67.488075,163.848743,-4.803228,-0.050970,0.038051
0.020000,94.176731,115.853721,70.763128,163.752664,-4.803954,-0.036327,0.034913
0.020000,97.448064,115.962205,74.036260,163.656582,-4.804099,-0.007219,0.031309
0.020000,100.717869,116.058080,77.307470,163.560517,-4.803279,0.040989,0.027239
0.020000,103.986137,116.139838,80.576760,163.464494,-4.801126,0.107648,0.022704
0.020000,107.252838,116.205975,83.844131,163.368549,-4.797237,0.194456,0.017704
0.020000,110.517925,116.254990,87.109586,163.272727,-4.791150,0.304359,0.012239
0.020000,113.781325,116.285387,90.373127,163.177083,-4.782181,0.448436,0.006311
0.020000,117.042943,116.295676,93.634761,163.081685,-4.769877,0.615197,6.283106
0.020000,120.302655,116.284377,96.894493,162.986614,-4.753586,0.814572,6.276255
0.020000,123.288206,116.218116,99.880779,149.314292,-683.616064,-33943.123897,6.242266
0.020000,126.406868,116.028447,103.005204,156.221223,345.346519,51448.129154,6.202662
0.020000,129.517271,115.715816,106.131279,156.303762,4.126969,-17060.977499,6.163456
0.020000,132.616058,115.282119,109.260268,156.449438,7.283773,157.840185,6.124956
0.020000,135.700178,114.730199,112.393383,156.655789,10.317577,151.690178,6.087452
0.020000,138.766945,114.063789,115.531720,156.916847,13.052913,136.766832,6.051213
0.020000,141.814141,113.287396,118.676270,157.227469,15.531073,123.907963,6.016475
0.020000,144.840016,112.406196,121.827846,157.578826,17.567881,101.840405,5.983438
0.020000,147.843349,111.425893,124.987119,157.963613,19.239349,83.573424,5.952263
0.020000,150.823439,110.352596,128.154595,158.373812,20.509946,63.529825,5.923072
0.020000,153.780099,109.192689,131.330633,158.801928,21.405785,44.791965,5.895954
0.020000,156.713634,107.952718,134.515466,159.241614,21.984306,28.926072,5.870964
0.020000,159.624809,106.639294,137.709213,159.687373,22.287923,15.180835,5.848132
0.020000,162.514806,105.259016,140.911907,160.134673,22.365005,3.854070,5.827465
0.020000,165.385185,103.818406,144.123516,160.580457,22.289228,-3.788833,5.808958
0.020000,168.237837,102.323870,147.343960,161.022232,22.088750,-10.023909,5.792589
0.020000,171.074940,100.781673,150.573128,161.458371,21.806952,-14.089898,5.778333
0.020000,173.898925,99.197923,153.810898,161.888525,21.507686,-14.963289,5.766161
0.020000,176.712430,97.578579,157.057140,162.312073,21.177412,-16.513681,5.756041
0.020000,179.518278,95.929451,160.311737,162.729879,20.890308,-14.355234,5.747946
0.020000,182.319436,94.256231,163.574582,163.142219,20.616970,-13.666887,5.741849
0.020000,185.119003,92.564508,166.845592,163.550503,20.414190,-10.138983,5.737730
0.020000,187.920177,90.859803,170.124706,163.955714,20.260549,-7.682082,5.735576
0.020000,190.726236,89.147604,173.411893,164.359325,20.180588,-3.998044,5.735379
0.020000,193.540522,87.433399,176.707147,164.762718,20.169653,-0.546712,5.737138
0.020000,196.366417,85.722719,180.010495,165.167393,20.233734,3.204010,5.740859
0.020000,199.207320,84.021177,183.321987,165.574596,20.360122,6.319427,5.746555
0.020000,202.066630,82.334505,186.641702,165.985790,20.559727,9.980253,5.754245
0.020000,204.947704,80.668602,189.969738,166.401795,20.800268,12.027056,5.763954
0.020000,207.853838,79.029564,193.306212,166.823680,21.094235,14.698343,5.775710
0.020000,210.788206,77.423726,196.651244,167.251581,21.395027,15.039569,5.789542
0.020000,213.753832,75.857684,200.004961,167.685872,21.714544,15.975848,5.805482
0.020000,216.753502,74.338325,203.367471,168.125482,21.980499,13.297792,5.823556
0.020000,219.789713,72.872829,206.738859,168.569433,22.197569,10.853483,5.843786
0.020000,222.864581,71.468663,210.119169,169.015491,22.302927,5.267916,5.866181
0.020000,225.979744,70.133563,213.508378,169.460421,22.246470,-2.822845,5.890737
0.020000,229.136267,68.875469,216.906382,169.900204,21.989164,-12.865346,5.917430
0.020000,232.334533,67.702457,220.312973,170.329582,21.468908,-26.012776,5.946208
0.020000,235.574148,66.622614,223.727818,170.742226,20.632159,-41.837435,5.976991
0.020000,238.853851,65.643896,227.150440,171.131118,19.444618,-59.377045,6.009664
0.020000,242.171457,64.773947,230.580210,171.488501,17.869133,-78.774259,6.044074
0.020000,245.523818,64.019895,234.016329,171.805962,15.873057,-99.803812,6.080027
0.020000,248.906871,63.388129,237.457866,172.076843,13.544074,-116.449134,6.117296
0.020000,252.315675,62.884089,240.903734,172.293374,10.826524,-135.877503,6.155619
0.020000,255.744567,62.512073,244.352747,172.450661,7.864371,-148.107663,6.194706
0.020000,259.187335,62.275082,247.803662,172.545769,4.755409,-155.448090,6.234255
0.020000,262.551588,62.175425,251.169392,168.286457,-212.965617,-10886.051328,6.272687
0.020000,266.010700,62.209603,254.628673,172.964057,233.879995,22342.280597,0.031085
0.020000,269.488185,62.398364,258.111277,174.130212,58.307760,-8778.611726,0.078338
0.020000,272.978989,62.765337,261.621317,175.501989,68.588845,514.054249,0.132271
0.020000,276.474439,63.338366,265.163425,177.105413,80.171227,579.119120,0.194008
0.020000,279.960227,64.149513,268.742347,178.946079,92.033274,593.102305,0.264717
0.020000,283.413908,65.234104,272.362326,180.998974,102.644751,530.573891,0.345434
