dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.769857,166.195751,0.023826,2.382609,119.130435,5956.521739,6.246135
0.020000,66.844462,166.192992,0.098482,3.732790,67.509083,-2581.067571,6.246280
0.020000,67.057410,166.185165,0.311574,10.654591,346.090022,13929.046937,6.246605
0.020000,67.412346,166.172271,0.666744,17.758510,355.195964,455.297102,6.247144
0.020000,67.909304,166.154538,1.164018,24.863718,355.260406,3.222099,6.247889
0.020000,68.548331,166.132276,1.803433,31.970731,355.350657,4.512531,6.248832
0.020000,69.329486,166.105874,2.585034,39.080066,355.466737,5.804003,6.249962
0.020000,70.252841,166.075790,3.508879,46.192240,355.608686,7.097443,6.251264
0.020000,71.318478,166.042544,4.575034,53.307771,355.776575,8.394464,6.252723
0.020000,72.526490,166.006705,5.783578,60.427178,355.970355,9.688979,6.254320
0.020000,73.876980,165.968878,7.134598,67.550981,356.190148,10.989689,6.256033
0.020000,75.370060,165.929688,8.628192,74.679699,356.435901,12.287627,6.257839
0.020000,77.005850,165.889765,10.264469,81.813852,356.707630,13.586443,6.259711
0.020000,78.784478,165.849724,12.043548,88.953959,357.005350,14.885997,6.261621
0.020000,80.706082,165.810145,13.965559,96.100539,357.329021,16.183573,6.263536
0.020000,82.770803,165.771550,16.030641,103.254112,357.678619,17.479874,6.265424
0.020000,84.978794,165.734380,18.238945,110.415194,358.054102,18.774180,6.267248
0.020000,87.330214,165.698968,20.590631,117.584302,358.455431,20.066440,6.268968
0.020000,89.825228,165.665512,23.085870,124.761954,358.882566,21.356726,6.270544
0.020000,92.464014,165.634045,25.724843,131.948663,359.335478,22.645627,6.271931
0.020000,95.246755,165.604403,28.507742,139.144946,359.814160,23.934095,6.273083
0.020000,98.173645,165.576190,31.434768,146.351319,360.318609,25.222438,6.273951
0.020000,101.244889,165.548748,34.506134,153.568296,360.848864,26.512766,6.274485
0.020000,104.436871,165.521316,37.698234,159.604990,301.834698,-2950.708316,6.274629
0.020000,107.702092,165.493033,40.963578,163.267183,183.109671,-5936.251337,6.274345
0.020000,110.928032,165.462756,44.189660,161.304096,-98.154389,-14063.203019,6.270092
0.020000,114.334376,165.368042,47.597320,170.383026,453.946502,27605.044577,6.241055
0.020000,117.726981,165.179026,50.995187,169.893319,-24.485316,-23921.590911,6.214396
0.020000,121.103481,164.904656,54.382816,169.381473,-25.592318,-55.350077,6.190223
0.020000,124.462328,164.554145,57.759903,168.854325,-26.357374,-38.252820,6.168610
0.020000,127.802713,164.136811,61.126256,168.317674,-26.832571,-23.759850,6.149603
0.020000,131.124465,163.661975,64.481775,167.775934,-27.087023,-12.722593,6.133226
0.020000,134.427951,163.138872,67.826421,167.232304,-27.181470,-4.722358,6.119487
0.020000,137.713972,162.576612,71.160198,166.688873,-27.171560,0.495496,6.108386
0.020000,140.983665,161.984154,74.483133,166.146761,-27.105603,3.297842,6.099914
0.020000,144.238411,161.370301,77.795261,165.606374,-27.019346,4.312855,6.094064
0.020000,147.479753,160.743711,81.096611,165.067492,-26.944075,3.763566,6.090827
0.020000,150.695507,160.115619,84.373129,163.825912,-62.079005,-1756.746504,6.090196
0.020000,153.850366,159.501524,87.587199,160.703511,-156.120086,-4702.054028,6.092099
0.020000,156.899780,158.917700,90.691999,155.239963,-273.177375,-5852.864468,6.096335
0.020000,159.813024,158.375834,93.655207,148.160432,-353.976562,-4039.959364,6.102601
0.020000,162.582362,157.881166,96.468378,140.658541,-375.094525,-1055.898165,6.110583
0.020000,165.209163,157.435530,99.132712,133.216698,-372.092180,150.117270,6.119990
0.020000,167.694441,157.039416,101.649360,125.832378,-369.215982,143.809893,6.130543
0.020000,170.038926,156.692159,104.019422,118.503132,-366.462324,137.682912,6.141975
0.020000,172.243128,156.392121,106.243951,111.226442,-363.834496,131.391413,6.154032
0.020000,174.307400,156.136870,108.323944,103.999671,-361.338553,124.797125,6.166472
0.020000,176.231990,155.923337,110.260344,96.819982,-358.984441,117.705622,6.179066
0.020000,178.017084,155.747979,112.054030,89.684317,-356.783262,110.058937,6.191602
0.020000,179.662838,155.606919,113.705819,82.589413,-354.745197,101.903233,6.203881
0.020000,181.169404,155.496090,115.216455,75.531843,-352.878505,93.334616,6.215723
0.020000,182.536943,155.411357,116.586617,68.508061,-351.189078,84.471369,6.226964
0.020000,183.765632,155.348633,117.816906,61.514451,-349.680493,75.429233,6.237458
0.020000,184.855666,155.303979,118.907854,54.547436,-348.350753,66.487017,6.247076
0.020000,185.807254,155.273696,119.859924,47.603463,-347.198640,57.605649,6.255705
0.020000,186.620608,155.254399,120.673507,40.679147,-346.215792,49.142375,6.263251
0.020000,187.295937,155.243085,121.348930,33.771184,-345.398163,40.881480,6.269634
0.020000,187.833435,155.237184,121.886461,26.876541,-344.732168,33.299710,6.274790
0.020000,188.233272,155.234601,122.286306,19.992252,-344.214436,25.886617,6.278668
0.020000,188.495579,155.233752,122.548615,13.115425,-343.841335,18.655060,6.281232
0.020000,188.633986,155.233576,122.687022,6.920365,-309.753043,1704.414612,6.282591
0.020000,188.684968,155.233558,122.738004,2.549111,-218.562690,4559.517629,6.283093
0.020000,188.694330,155.233558,122.747366,0.468098,-104.050636,5725.602710,6.283185
0.020000,188.694330,155.233558,122.747366,0.000000,-23.404903,4032.286639,6.283185
