dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.464259,157.951413,0.023826,2.382609,119.130435,5956.521739,6.246135
0.020000,66.540061,157.948610,0.099681,3.792726,70.505860,-2431.228726,6.246280
0.020000,66.755694,157.940684,0.315458,10.788887,349.808077,13965.110837,6.246605
0.020000,67.115069,157.927629,0.675071,17.980620,359.586614,488.926871,6.247144
0.020000,67.618170,157.909677,1.178492,25.171063,359.522165,-3.222464,6.247889
0.020000,68.264972,157.887144,1.825686,32.359701,359.431901,-4.513202,6.248832
0.020000,69.055441,157.860426,2.616606,39.546017,359.315784,-5.805875,6.249962
0.020000,69.989535,157.829993,3.551196,46.729492,359.173786,-7.099887,6.251264
0.020000,71.067203,157.796371,4.629388,53.909611,359.005913,-8.393625,6.252723
0.020000,72.288382,157.760142,5.851105,61.085852,358.812055,-9.692919,6.254320
0.020000,73.653001,157.721919,7.216259,68.257698,358.592289,-10.988317,6.256033
0.020000,75.160974,157.682338,8.724752,75.424628,358.346530,-12.287956,6.257839
0.020000,76.812205,157.642038,10.376474,82.586124,358.074789,-13.587006,6.259711
0.020000,78.606584,157.601642,12.171308,89.741666,357.777102,-14.884385,6.261621
0.020000,80.543988,157.561737,14.109122,96.890735,357.453469,-16.181648,6.263536
0.020000,82.624280,157.522851,16.189779,104.032814,357.103927,-17.477086,6.265424
0.020000,84.847313,157.485427,18.413126,111.167384,356.728512,-18.770768,6.267248
0.020000,87.212923,157.449802,20.779005,118.293929,356.327260,-20.062569,6.268968
0.020000,89.720937,157.416171,23.287244,125.411933,355.900203,-21.352840,6.270544
0.020000,92.371166,157.384568,25.937661,132.520881,355.447362,-22.642071,6.271931
0.020000,95.163413,157.354824,28.730066,139.620255,354.968742,-23.931023,6.273083
0.020000,98.097467,157.326542,31.664257,146.709542,354.464309,-25.221623,6.273951
0.020000,101.173109,157.299060,34.740022,153.788222,353.934025,-26.514231,6.274485
0.020000,104.366282,157.271618,37.933313,159.664575,293.817644,-3005.819017,6.274629
0.020000,107.629164,157.243355,41.196317,163.150207,174.281592,-5976.802628,6.274345
0.020000,110.820017,157.213463,44.387310,159.549630,-180.028836,-17715.521378,6.270092
0.020000,113.986901,157.125363,47.555419,158.405459,-57.208560,6141.013812,6.241055
0.020000,117.159915,156.948537,50.733357,158.896872,24.570675,4088.961743,6.214396
0.020000,120.337648,156.690279,53.921567,159.410524,25.682553,55.593870,6.190223
0.020000,123.519153,156.358236,57.120352,159.939253,26.436473,37.696004,6.168610
0.020000,126.703937,155.960309,60.329899,160.477362,26.905474,23.450064,6.149603
0.020000,129.891933,155.504563,63.550307,161.020380,27.150896,12.271113,6.133226
0.020000,133.083466,154.999163,66.781609,161.565104,27.236168,4.263603,6.119487
0.020000,136.279208,154.452331,70.023798,162.109445,27.217081,-0.954339,6.108386
0.020000,139.480127,153.872319,73.276843,162.652247,27.140085,-3.849816,6.099914
0.020000,142.687444,153.267400,76.540706,163.193161,27.045710,-4.718767,6.094064
0.020000,145.902567,152.645873,79.815353,163.732368,26.960335,-4.268763,6.090827
0.020000,149.113212,152.018777,83.086667,163.565664,-8.335220,-1764.777730,6.090196
0.020000,152.283483,151.401685,86.316438,161.488567,-103.854839,-4775.980940,6.092099
0.020000,155.367222,150.811297,89.456183,156.987266,-225.065019,-6060.508987,6.096335
0.020000,158.331288,150.259988,92.471085,150.745071,-312.109792,-4352.238647,6.102601
0.020000,161.165452,149.753751,95.350106,143.951041,-339.701464,-1379.583642,6.110583
0.020000,163.868768,149.295147,98.092045,137.096988,-342.702644,-150.058961,6.119990
0.020000,166.440024,148.885341,100.695755,130.185459,-345.576460,-143.690811,6.130543
0.020000,168.877809,148.524276,103.160133,123.218931,-348.326429,-137.498436,6.141975
0.020000,171.180573,148.210833,105.484131,116.199902,-350.951420,-131.249592,6.154032
0.020000,173.346697,147.942997,107.666752,109.131022,-353.444026,-124.630272,6.166472
0.020000,175.374558,147.718015,109.707054,102.015121,-355.795038,-117.550589,6.179066
0.020000,177.262575,147.532553,111.604159,94.855239,-357.994119,-109.954088,6.191602
0.020000,179.009264,147.382848,113.357251,87.654621,-360.030865,-101.837260,6.203881
0.020000,180.613264,147.264856,114.965585,80.416693,-361.896408,-93.277170,6.215723
0.020000,182.073364,147.174392,116.428485,73.144996,-363.584838,-84.421506,6.226964
0.020000,183.388514,147.107257,117.745347,65.843111,-365.094259,-75.471035,6.237458
0.020000,184.557826,147.059357,118.915640,58.514642,-366.423437,-66.458933,6.247076
0.020000,185.580570,147.026811,119.938902,51.163082,-367.578004,-57.728308,6.255705
0.020000,186.456161,147.006038,120.814739,43.791866,-368.560796,-49.139632,6.263251
0.020000,187.184143,146.993843,121.542823,36.404214,-369.382645,-41.092422,6.269634
0.020000,187.764174,146.987474,122.122889,29.003298,-370.045793,-33.157439,6.274790
0.020000,188.196005,146.984685,122.554730,21.592028,-370.563498,-25.885213,6.278668
0.020000,188.479466,146.983768,122.838192,14.173083,-370.947249,-19.187564,6.281232
0.020000,188.629086,146.983577,122.987812,7.481029,-334.602693,1817.227797,6.282591
0.020000,188.684208,146.983558,123.042934,2.756080,-236.247424,4917.763440,6.283093
0.020000,188.694330,146.983558,123.053056,0.506131,-112.497493,6187.496566,6.283185
0.020000,188.694330,146.983558,123.053056,0.000000,-25.306527,4359.548312,6.283185
