dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.218532,201.808680,0.023826,2.382609,119.130435,5956.521739,6.283081
0.020000,24.295796,201.808695,0.101090,3.863177,74.028439,-2255.099805,0.000391
0.020000,24.514791,201.808902,0.320085,10.949748,354.328502,14015.003166,0.001496
0.020000,24.879676,201.809780,0.684971,18.244323,364.728767,520.013226,0.003313
0.020000,25.390291,201.812110,1.195591,25.531003,364.334026,-19.737016,0.005803
0.020000,26.046405,201.816944,1.851723,32.806610,363.780309,-27.685866,0.008913
0.020000,26.847718,201.825563,2.653082,40.067942,363.066629,-35.683973,0.012573
0.020000,27.793852,201.839429,3.599318,47.311789,362.192331,-43.714930,0.016699
0.020000,28.884354,201.860116,4.690016,54.534927,361.156909,-51.771069,0.021190
0.020000,30.118693,201.889241,5.924699,61.734126,359.959961,-59.847403,0.025930
0.020000,31.496261,201.928371,7.302822,68.906166,358.601991,-67.898536,0.030788
0.020000,33.016377,201.978931,8.823779,76.047836,357.083495,-75.924761,0.035616
0.020000,34.678296,202.042097,10.486898,83.155948,355.405616,-83.893993,0.040251
0.020000,36.481217,202.118677,12.291445,90.227338,353.569475,-91.807009,0.044516
0.020000,38.424297,202.208986,14.236622,97.258857,351.575982,-99.674656,0.048216
0.020000,40.506662,202.312712,16.321569,104.247368,349.425523,-107.522980,0.051145
0.020000,42.727426,202.428771,18.545364,111.189719,347.117578,-115.397211,0.053076
0.020000,45.085696,202.555156,20.907018,118.082729,344.650470,-123.355408,0.053773
0.020000,47.580584,202.688778,23.405481,124.923162,342.021669,-131.440077,0.052978
0.020000,50.211199,202.825293,26.039636,131.707725,339.228153,-139.675790,0.050423
0.020000,52.976633,202.958929,28.808298,138.433089,336.268206,-147.997370,0.045820
0.020000,55.875929,203.082298,31.710217,145.095964,333.143749,-156.222812,0.038866
0.020000,58.908014,203.186209,34.744082,151.693268,329.865206,-163.927148,0.029245
0.020000,62.048217,203.259090,37.885130,157.052396,267.956365,-3095.442082,0.016729
0.020000,65.248523,203.288645,41.085573,160.022156,148.488009,-5973.417802,0.001287
0.020000,68.308808,203.267362,44.145932,153.017915,-350.212034,-24935.002146,6.271543
0.020000,71.725001,203.280834,47.562151,170.810982,889.653320,61993.267730,0.019476
0.020000,75.137447,203.399866,50.976673,170.726076,-4.245293,-44694.930650,0.050181
0.020000,78.542356,203.622528,54.388855,170.609088,-5.849397,-80.205223,0.080319
0.020000,81.936203,203.946236,57.798105,170.462502,-7.329309,-73.995572,0.109741
0.020000,85.315747,204.367806,61.203841,170.286817,-8.784250,-72.747090,0.138313
0.020000,88.678154,204.883532,64.605569,170.086386,-10.021511,-61.863032,0.165909
0.020000,92.020981,205.489258,68.002832,169.863158,-11.161415,-56.995191,0.192422
0.020000,95.342240,206.180471,71.395255,169.621176,-12.099105,-46.884499,0.217759
0.020000,98.640379,206.952377,74.782520,169.363221,-12.897764,-39.932971,0.241843
0.020000,101.914287,207.799988,78.164371,169.092577,-13.532191,-31.721344,0.264613
