dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.949996,210.789682,0.023826,2.382609,119.130435,5956.521739,6.283178
0.020000,25.024394,210.789683,0.098225,3.719926,66.865888,-2613.227355,0.000027
0.020000,25.238516,210.789697,0.312346,10.706064,349.306866,14122.048905,0.000103
0.020000,25.595394,210.789756,0.669225,17.843948,356.894230,379.368215,0.000227
0.020000,26.095046,210.789911,1.168877,24.982596,356.932387,1.907852,0.000396
0.020000,26.737493,210.790233,1.811323,32.122312,356.985807,2.671006,0.000604
0.020000,27.522760,210.790802,2.596591,39.263402,357.054491,3.434164,0.000844
0.020000,28.450883,210.791711,3.524714,46.406171,357.138437,4.197336,0.001110
0.020000,29.521901,210.793051,4.595733,53.550924,357.237647,4.960502,0.001390
0.020000,30.735859,210.794914,5.809692,60.697966,357.352120,5.723654,0.001674
0.020000,32.092809,210.797377,7.166644,67.847603,357.481856,6.486765,0.001949
0.020000,33.592808,210.800496,8.666647,75.000140,357.626854,7.249921,0.002201
0.020000,35.235922,210.804297,10.309765,82.155883,357.787113,8.012948,0.002415
0.020000,37.022219,210.808763,12.096068,89.315135,357.962634,8.776055,0.002573
0.020000,38.951776,210.813825,14.025632,96.478204,358.153416,9.539089,0.002658
0.020000,41.024677,210.819343,16.098539,103.645393,358.359459,10.302168,0.002649
0.020000,43.241009,210.825097,18.314880,110.817008,358.580764,11.065242,0.002524
0.020000,45.600870,210.830769,20.674747,117.993355,358.817331,11.828333,0.002261
0.020000,48.104359,210.835929,23.178241,125.174738,359.069159,12.591388,0.001835
0.020000,50.751585,210.840012,25.825471,132.361463,359.336244,13.354254,0.001221
0.020000,53.542661,210.842306,28.616547,139.553834,359.618578,14.116711,0.000391
0.020000,56.477704,210.841926,31.551591,146.752157,359.916143,14.878270,6.282501
0.020000,59.556836,210.837800,34.630725,153.956735,360.228907,15.638200,6.281151
0.020000,62.756300,210.828727,37.830202,159.973846,300.855557,-2968.667521,6.279507
0.020000,66.028421,210.813595,41.102358,163.607803,181.697848,-5957.885444,6.277572
0.020000,69.325460,210.791517,44.399471,164.855627,62.391158,-5965.334475,6.275363
0.020000,72.322670,210.801799,47.396698,149.861384,-749.712109,-40605.163374,0.016874
0.020000,75.492080,210.900355,50.567640,158.547088,434.285192,59199.865045,0.045226
0.020000,78.659411,211.088120,53.740533,158.644629,4.877033,-21470.407967,0.073106
0.020000,81.822777,211.363416,56.915855,158.766112,6.074157,59.856226,0.100398
0.020000,84.980441,211.724186,60.094061,158.910310,7.209880,56.786142,0.126991
0.020000,88.130833,212.168022,63.275565,159.075163,8.242682,51.640118,0.152787
0.020000,91.272575,212.692202,66.460734,159.258453,9.164495,46.090651,0.177695
0.020000,94.404489,213.293728,69.649891,159.457850,9.969864,40.268435,0.201638
0.020000,97.525616,213.969373,72.843310,159.670983,10.656624,34.338006,0.224550
0.020000,100.635214,214.715716,76.041220,159.895505,11.226112,28.474377,0.246374
0.020000,103.732762,215.529188,79.243804,160.129165,11.682978,22.843296,0.267067
0.020000,106.817954,216.406108,82.451201,160.369860,12.034772,17.589720,0.286595
0.020000,109.890692,217.342715,85.663513,160.615624,12.288176,12.670191,0.304932
0.020000,112.951078,218.335205,88.880810,160.864840,12.460817,8.632071,0.322062
0.020000,115.999402,219.379751,92.103132,161.116071,12.561557,5.036979,0.337976
0.020000,119.036127,220.472529,95.330494,161.368113,12.602087,2.026521,0.352669
0.020000,122.061878,221.609735,98.562893,161.619964,12.592538,-0.477484,0.366142
0.020000,125.077424,222.787596,101.800311,161.870904,12.547019,-2.275916,0.378400
0.020000,128.083669,224.002384,105.042720,162.120449,12.477245,-3.488717,0.389448
