dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,196.004642,146.983558,0.023826,2.382609,119.130435,5956.521739,3.141664
0.020000,195.916357,146.983585,0.112111,4.414250,101.582063,-877.418610,3.140975
0.020000,195.695579,146.983892,0.332889,11.038899,331.232441,11482.518927,3.139437
0.020000,195.327791,146.985150,0.700679,18.389521,367.531111,1814.933485,3.136916
0.020000,194.813258,146.988446,1.215222,25.727134,366.880645,-32.523279,3.133475
0.020000,194.152364,146.995232,1.876152,33.046480,365.967324,-45.666071,3.129202
0.020000,193.345608,147.007259,2.682997,40.342249,364.788429,-58.944748,3.124211
0.020000,192.393621,147.026486,3.635179,47.609093,363.342223,-72.310281,3.118644
0.020000,191.297158,147.054975,4.732011,54.841638,361.627239,-85.749218,3.112666
0.020000,190.057106,147.094764,5.972702,62.034512,359.643674,-99.178268,3.106469
0.020000,188.674473,147.147724,7.356349,69.182363,357.392551,-112.556118,3.100272
0.020000,187.150377,147.215400,8.881947,76.279886,354.876186,-125.818263,3.094319
0.020000,185.486030,147.298831,10.548383,83.321833,352.097307,-138.943954,3.088879
0.020000,183.682715,147.398365,12.354443,90.302999,349.058319,-151.949389,3.084248
0.020000,181.741760,147.513454,14.298807,97.218205,345.760295,-164.901210,3.080744
0.020000,179.664515,147.642435,16.380052,104.062244,342.201981,-177.915690,3.078714
0.020000,177.452336,147.782304,18.596649,110.829833,338.379414,-191.128361,3.078527
0.020000,175.106575,147.928478,20.946960,117.515566,334.286659,-204.637718,3.080580
0.020000,172.628596,148.074533,23.429239,124.113933,329.918380,-218.413986,3.085298
0.020000,170.019824,148.211951,26.041628,130.619445,325.275597,-232.139149,3.093128
0.020000,167.281822,148.329843,28.782167,137.026969,320.376185,-244.970570,3.104545
0.020000,164.416430,148.414691,31.648815,143.332397,315.271376,-255.240478,3.120044
0.020000,161.683272,148.448549,34.382183,136.668380,-333.200829,-32423.610227,3.141063
0.020000,158.644402,148.394825,37.421527,151.967235,764.942762,54907.179556,3.178194
0.020000,155.560860,148.217574,40.510160,154.431640,123.220223,-32086.126957,3.220694
0.020000,152.487849,147.901014,43.599433,154.463617,1.598880,-6081.067136,3.268797
0.020000,149.459597,147.431900,46.663805,153.218607,-62.250495,-3192.468768,3.322904
0.020000,146.490115,146.795661,49.700682,151.843871,-68.736814,-324.315932,3.383671
0.020000,143.596185,145.977973,52.707914,150.361606,-74.113274,-268.823008,3.451597
0.020000,140.796745,144.965716,55.684746,148.841578,-76.001411,-94.406848,3.526857
0.020000,138.111995,143.748159,58.632682,147.396824,-72.237674,188.186822,3.609084
0.020000,135.561846,142.318152,61.556409,146.186348,-60.523802,585.693618,3.697169
0.020000,133.164350,140.673293,64.463908,145.374947,-40.570060,997.687083,3.789158
0.020000,130.933755,138.816470,67.366209,145.115032,-12.995761,1378.714942,3.882402
0.020000,128.879585,136.756206,70.275556,145.467355,17.616180,1530.597053,3.973947
0.020000,127.006119,134.506332,73.203321,146.388257,46.045075,1421.444748,4.061049
0.020000,125.312454,132.085023,76.158187,147.743308,67.752546,1085.373576,4.141613
0.020000,123.792953,129.513186,79.145365,149.358902,80.779744,651.359903,4.214378
0.020000,122.438021,126.812553,82.166832,151.073318,85.720768,247.051210,4.278865
0.020000,121.235159,124.004005,85.222125,152.764656,84.566926,-57.692105,4.335179
0.020000,120.170044,121.106362,88.309325,154.360005,79.767430,-239.974827,4.383784
0.020000,119.227518,118.135851,91.425780,155.822744,73.136937,-331.524664,4.425316
0.020000,118.392314,115.105958,94.568680,157.144999,66.112767,-351.208477,4.460456
0.020000,117.649551,112.027669,97.735312,158.331608,59.330441,-339.116318,4.489851
0.020000,116.984980,108.909727,100.923292,159.398988,53.369023,-298.070876,4.514080
0.020000,116.385083,105.759051,104.130571,160.363951,48.248128,-256.044734,4.533636
0.020000,115.837055,102.581028,107.355499,161.246418,44.123339,-206.239483,4.548918
0.020000,115.328712,99.379867,110.596771,162.063595,40.858871,-163.223377,4.560243
0.020000,114.848357,96.158839,113.853420,162.832464,38.443429,-120.772128,4.567843
0.020000,114.384613,92.920497,117.124798,163.568914,36.822504,-81.046220,4.571872
0.020000,113.926246,89.666854,120.410570,164.288571,35.982855,-41.982485,4.572413
0.020000,113.461969,86.399564,123.710682,165.005594,35.851165,-6.584459,4.569477
0.020000,112.980229,83.120060,127.025379,165.734870,36.463813,30.632372,4.563005
0.020000,112.468980,79.829715,130.355206,166.491335,37.823239,67.971328,4.552863
0.020000,111.915442,76.530027,133.701001,167.289744,39.920448,104.860451,4.538845
0.020000,111.305819,73.222774,137.063970,168.148476,42.936603,150.807720,4.520661
0.020000,110.625025,69.910346,140.445635,169.083230,46.737712,190.055462,4.497938
0.020000,109.856377,66.596052,143.847895,170.112985,51.487725,237.500651,4.470212
0.020000,108.981312,63.284601,147.273014,171.255962,57.148847,283.056081,4.436931
0.020000,107.979172,59.982754,150.723591,172.528849,63.644370,324.776173,4.397466
0.020000,106.827182,56.700244,154.202377,173.939318,70.523414,343.952217,4.351139
0.020000,105.500752,53.450857,157.712068,175.484536,77.260903,336.874443,4.297291
0.020000,103.974404,50.253716,161.254870,177.140130,82.779741,275.941865,4.235385
0.020000,102.223678,47.134617,164.831716,178.842258,85.106371,116.331528,4.165182
0.020000,100.228153,44.126591,168.441471,180.487780,82.276110,-141.513062,4.086956
0.020000,97.975558,41.269180,172.080013,181.927079,71.964941,-515.558444,4.001706
0.020000,95.465969,38.605380,175.739775,182.988135,53.052788,-945.607670,3.911276
0.020000,92.714420,36.176201,179.410189,183.520689,26.627742,-1321.252259,3.818244
0.020000,89.750114,34.014105,183.079217,183.451409,-3.464003,-1504.587271,3.725555
0.020000,86.612075,32.137932,186.735351,182.806677,-32.236606,-1438.630141,3.636006
0.020000,83.342506,30.551119,190.369641,181.714478,-54.609954,-1118.667401,3.551793
0.020000,79.980959,29.243793,193.976453,180.340644,-68.691707,-704.087648,3.474288
0.020000,76.560705,28.196927,197.553333,178.843957,-74.834373,-307.133311,3.404073
0.020000,73.107384,27.386703,201.100428,177.354794,-74.458154,18.810969,3.341116
0.020000,69.648803,26.789358,204.610215,175.489313,-93.274007,-940.792664,3.285137
0.020000,66.271059,26.386290,208.011923,170.085434,-270.193973,-8845.998301,3.236561
0.020000,63.166060,26.078636,211.132126,156.010156,-703.763876,-21678.495140,3.243663
0.020000,60.177644,25.765659,214.136887,150.238044,-288.605605,20757.913543,3.247778
0.020000,57.321368,25.458526,217.009629,143.637082,-330.048123,-2072.125919,3.249242
0.020000,54.597911,25.164855,219.748873,136.962211,-333.743557,-184.771706,3.248413
0.020000,52.008068,24.890371,222.353222,130.217415,-337.239765,-174.810360,3.245630
0.020000,49.552758,24.639125,224.821352,123.406519,-340.544834,-165.253465,3.241213
0.020000,47.233022,24.413699,227.152015,116.533176,-343.667152,-156.115887,3.235465
0.020000,45.049992,24.215403,229.344034,109.600917,-346.612933,-147.289065,3.228671
0.020000,43.004859,24.044462,231.396298,102.613217,-349.385006,-138.603661,3.221101
0.020000,41.098839,23.900199,233.307769,95.573554,-351.983171,-129.908224,3.213006
0.020000,39.333136,23.781201,235.077478,88.485459,-354.404717,-121.077344,3.204622
0.020000,37.708902,23.685488,236.704529,81.352550,-356.645458,-112.037027,3.196165
0.020000,36.227220,23.610664,238.188100,74.178527,-358.701177,-102.785943,3.187836
0.020000,34.889073,23.554065,239.527444,66.967182,-360.567233,-93.302823,3.179814
0.020000,33.695335,23.512892,240.721890,59.722347,-362.241735,-83.725085,3.172264
0.020000,32.646766,23.484336,241.770848,52.447894,-363.722649,-74.045716,3.165327
0.020000,31.744005,23.465689,242.673802,45.147677,-365.010842,-64.409611,3.159129
0.020000,30.987579,23.454438,243.430312,37.825511,-366.108330,-54.874418,3.153777
0.020000,30.377906,23.448351,244.040015,30.485148,-367.018129,-45.489963,3.149358
0.020000,29.915309,23.445547,244.502620,23.130268,-367.743997,-36.293410,3.145944
0.020000,29.600022,23.444546,244.817910,15.764470,-368.289924,-27.296351,3.143586
0.020000,29.423280,23.444311,244.994651,8.837069,-346.370038,1095.994313,3.142254
0.020000,29.351653,23.444283,245.066278,3.581354,-262.785757,4179.214073,3.141712
0.020000,29.335975,23.444282,245.081957,0.783926,-139.871406,6145.717520,3.141593
0.020000,29.335975,23.444282,245.081957,0.000000,-39.196285,5033.756038,3.141593
