dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,196.004051,155.233558,0.023826,2.382609,119.130435,5956.521739,3.141664
0.020000,195.921455,155.233583,0.106423,4.129834,87.361249,-1588.459313,3.140975
0.020000,195.713364,155.233872,0.314514,10.404574,313.737035,11318.789309,3.139437
0.020000,195.366374,155.235059,0.661506,17.349602,347.251388,1675.717646,3.136916
0.020000,194.880231,155.238174,1.147659,24.307623,347.901047,32.482954,3.133475
0.020000,194.254586,155.244599,1.773337,31.283905,348.814089,45.652116,3.129202
0.020000,193.488996,155.256013,2.539012,38.283755,349.992485,58.919813,3.124211
0.020000,192.582930,155.274314,3.445262,45.312526,351.438553,72.303392,3.118644
0.020000,191.535772,155.301524,4.492774,52.375592,353.153334,85.739047,3.112666
0.020000,190.346817,155.339676,5.682341,59.478337,355.137220,99.194311,3.106469
0.020000,189.015271,155.390682,7.014863,66.626115,357.388910,112.584508,3.100272
0.020000,187.540240,155.456183,8.491348,73.824239,359.906215,125.865244,3.094319
0.020000,185.920715,155.537371,10.112907,81.077964,362.686264,139.002414,3.088879
0.020000,184.155552,155.634804,11.880757,88.392493,365.726436,152.008600,3.084248
0.020000,182.243450,155.748185,13.796217,95.773001,369.025369,164.946674,3.080744
0.020000,180.182925,155.876131,15.860711,103.224676,372.583793,177.921188,3.078714
0.020000,177.972284,156.015904,18.075766,110.752775,376.404943,191.057528,3.078527
0.020000,175.609614,156.163127,20.443019,118.362653,380.493879,204.446763,3.080580
0.020000,173.092786,156.311464,22.964214,126.059747,384.854699,218.041029,3.085298
0.020000,170.419503,156.452264,25.641203,133.849442,389.484763,231.503200,3.093128
0.020000,167.587391,156.574182,28.475938,141.736731,394.364455,243.984573,3.104545
0.020000,164.594191,156.662775,31.470448,149.725535,399.440208,253.787667,3.120044
0.020000,161.687645,156.698548,34.377215,145.338316,-219.360977,-30940.059274,3.141063
0.020000,158.342509,156.639299,37.722876,167.283037,1097.236078,65829.852769,3.178194
0.020000,154.908957,156.441778,41.162104,171.961427,233.919503,-43165.828754,3.220694
0.020000,151.441239,156.084357,44.648194,174.304474,117.152314,-5838.359434,3.268797
0.020000,147.971957,155.546666,48.158895,175.535087,61.530654,-2781.082992,3.322904
0.020000,144.512416,154.805105,51.697021,176.906279,68.559614,351.448004,3.383671
0.020000,141.079418,153.834715,55.264532,178.375567,73.464402,245.239402,3.451597
0.020000,137.696364,152.610985,58.862110,179.878896,75.166461,85.102931,3.526857
0.020000,134.394145,151.112946,62.488233,181.306161,71.363213,-190.162421,3.609084
0.020000,131.210524,149.327324,66.138424,182.509526,60.168265,-559.747398,3.697169
0.020000,128.187570,147.253123,69.804561,183.306868,39.867125,-1015.056992,3.789158
0.020000,125.365948,144.904329,73.475853,183.564589,12.886011,-1349.055698,3.882402
0.020000,122.778559,142.309582,77.140180,183.216339,-17.412456,-1514.923330,3.973947
0.020000,120.445122,139.507914,80.786311,182.306568,-45.488572,-1403.805804,4.061049
0.020000,118.370229,136.542377,84.405647,180.966800,-66.988388,-1074.990829,4.141613
0.020000,116.545045,133.454039,87.993003,179.367814,-79.949324,-648.046770,4.214378
0.020000,114.951219,130.278141,91.546397,177.669700,-84.905711,-247.819342,4.278865
0.020000,113.565167,127.042709,95.066222,175.991206,-83.924701,49.050490,4.335179
0.020000,112.361472,123.768823,98.554375,174.407663,-79.177142,237.377933,4.383784
0.020000,111.315134,120.471804,102.013444,172.953447,-72.710778,323.318202,4.425316
0.020000,110.402747,117.162490,105.446228,171.639217,-65.711502,349.963817,4.460456
0.020000,109.602993,113.848491,108.855362,170.456686,-59.126547,329.247745,4.489851
0.020000,108.896670,110.535071,112.243229,169.393381,-53.165269,298.063876,4.514080
0.020000,108.266538,107.225925,115.611836,168.430347,-48.151710,250.677960,4.533636
0.020000,107.697041,103.923662,118.962847,167.550511,-43.991768,207.997130,4.548918
0.020000,107.174015,100.630232,122.297549,166.735107,-40.770208,161.077973,4.560243
0.020000,106.684393,97.347196,125.616894,165.967246,-38.393064,118.857220,4.567843
0.020000,106.215927,94.075950,128.921514,165.231010,-36.811787,79.063852,4.571872
0.020000,105.756936,90.817885,132.211750,164.511820,-35.959482,42.615237,4.572413
0.020000,105.296074,87.574574,135.487641,163.794533,-35.864349,4.756642,4.569477
0.020000,104.822110,84.347902,138.748938,163.064864,-36.483461,-30.955609,4.563005
0.020000,104.323733,81.140229,141.995096,162.307899,-37.848287,-68.241289,4.552863
0.020000,103.789366,77.954593,145.225240,161.507170,-40.036424,-109.406849,4.538845
0.020000,103.206989,74.794859,148.438195,160.647790,-42.968982,-146.627915,4.520661
0.020000,102.564005,71.666039,151.632399,159.710197,-46.879683,-195.535030,4.497938
0.020000,101.847127,68.574539,154.805929,158.676469,-51.686364,-240.334052,4.470212
0.020000,101.042330,65.528497,157.956495,157.528310,-57.407963,-286.079948,4.436931
0.020000,100.134906,62.538136,161.081503,156.250414,-63.894828,-324.343275,4.397466
0.020000,99.109671,59.616153,164.178129,154.831293,-70.956009,-353.059019,4.351139
0.020000,97.951370,56.777916,167.243623,153.274684,-77.830480,-343.723540,4.297291
0.020000,96.645315,54.041454,170.275784,151.608070,-83.330700,-275.011028,4.235385
0.020000,95.178332,51.427123,173.273578,149.889679,-85.919536,-129.441803,4.165182
0.020000,93.539800,48.956543,176.238127,148.227471,-83.110383,140.457678,4.086956
0.020000,91.722747,46.651081,179.173572,146.772224,-72.762352,517.401536,4.001706
0.020000,89.724729,44.529961,182.087543,145.698581,-53.682181,954.008551,3.911276
0.020000,87.548387,42.608510,184.990720,145.158840,-26.987033,1334.757404,3.818244
0.020000,85.201610,40.896954,187.895335,145.230730,3.594495,1529.076395,3.725555
0.020000,82.697322,39.399971,190.812939,145.880229,32.474945,1444.022494,3.636006
0.020000,80.052464,38.116707,193.752674,146.986737,55.325421,1142.523807,3.551793
0.020000,77.286576,37.041408,196.720233,148.377930,69.559620,711.709937,3.474288
