dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.031228,30.963277,0.023826,2.382609,119.130435,5956.521739,6.281908
0.020000,22.027751,30.963280,0.027303,0.173823,-110.439297,-11478.486570,6.282751
0.020000,22.185180,30.963397,0.184732,7.871454,384.881587,24766.044164,0.001457
0.020000,22.529626,30.964439,0.529179,17.222372,467.545882,4133.214747,0.004595
0.020000,23.011968,30.967709,1.011532,24.117628,344.762782,-6139.154987,0.008957
0.020000,23.632311,30.974993,1.631918,31.019328,345.085023,16.112075,0.014513
0.020000,24.390778,30.988551,2.390506,37.929404,345.503772,20.937417,0.021221
0.020000,25.287492,31.011097,3.287503,44.849844,346.022005,25.911655,0.029031
0.020000,26.322568,31.045756,4.323159,51.782815,346.648580,31.328760,0.037883
0.020000,27.496100,31.096030,5.497768,58.730434,347.380913,36.616662,0.047705
0.020000,28.808148,31.165746,6.811667,65.694926,348.224643,42.186497,0.058416
0.020000,30.258723,31.259000,8.265237,72.678503,349.178831,47.709387,0.069923
0.020000,31.847784,31.380096,9.858905,79.683393,350.244496,53.283244,0.082122
0.020000,33.575225,31.533469,11.593141,86.711810,351.420853,58.817876,0.094900
0.020000,35.440872,31.723612,13.468452,93.765563,352.687659,63.340299,0.108133
0.020000,37.444495,31.954987,15.485391,100.846945,354.069092,69.071642,0.121688
0.020000,39.585808,32.231938,17.644539,107.957396,355.522559,72.673351,0.135424
0.020000,41.864482,32.558595,19.946508,115.098464,357.053380,76.541055,0.149193
0.020000,44.280179,32.938776,22.391938,122.271517,358.652635,79.962715,0.162839
0.020000,46.832574,33.375895,24.981493,129.477731,360.310743,82.905422,0.176202
0.020000,49.521388,33.872851,27.715846,136.717659,361.996368,84.281264,0.189118
0.020000,52.346445,34.431939,30.595694,143.992377,363.735895,86.976347,0.201419
0.020000,55.307704,35.054744,33.621738,151.302200,365.491170,87.763726,0.212936
0.020000,58.382386,35.736830,36.771168,157.471525,308.466237,-2851.246615,0.223421
0.020000,61.525046,36.466514,39.997428,161.313001,192.073802,-5819.621789,0.232609
0.020000,64.690501,37.229742,43.253594,162.808308,74.765336,-5865.423292,0.240325
0.020000,67.856674,38.016474,46.516048,163.122658,15.717498,-2952.391875,0.246517
0.020000,71.024539,38.821941,49.784709,163.433064,15.520312,-9.859332,0.251204
0.020000,74.195155,39.641427,53.059516,163.740375,15.365554,-7.737893,0.254402
0.020000,77.369653,40.470243,56.340427,164.045515,15.257026,-5.426385,0.256121
0.020000,80.549216,41.303716,59.627416,164.349461,15.197268,-2.987904,0.256366
0.020000,83.735066,42.137164,62.920480,164.653223,15.188095,-0.458649,0.255138
0.020000,86.928444,42.965877,66.219636,164.957791,15.228408,2.015669,0.252434
0.020000,90.130595,43.785098,69.524919,165.264145,15.317712,4.465185,0.248244
0.020000,93.342749,44.589997,72.836384,165.573223,15.453893,6.809043,0.242554
0.020000,96.566101,45.375654,76.154101,165.885890,15.633376,8.974135,0.235348
0.020000,99.801786,46.137038,79.478160,166.202912,15.851082,10.885297,0.226604
0.020000,103.050858,46.868988,82.808658,166.524916,16.100213,12.456571,0.216298
0.020000,106.314260,47.566202,86.145708,166.852497,16.379032,13.940965,0.204403
0.020000,109.592790,48.223219,89.489423,167.185759,16.663084,14.202570,0.190890
0.020000,112.887062,48.834415,92.839914,167.524541,16.939100,13.800838,0.175733
0.020000,116.197473,49.394004,96.197288,167.868685,17.207200,13.404955,0.158905
0.020000,119.524152,49.896046,99.561636,168.217411,17.436337,11.456850,0.140385
0.020000,122.866906,50.334464,102.933017,168.569077,17.583304,7.348349,0.120157
0.020000,126.225186,50.703075,106.311467,168.922494,17.670839,4.376764,0.098213
0.020000,129.598012,50.995637,109.696958,169.274519,17.601242,-3.479849,0.074560
0.020000,132.983943,51.205913,113.089412,169.622695,17.408787,-9.622730,0.049216
0.020000,136.381017,51.327744,116.488670,169.962901,17.010309,-19.923904,0.022219
0.020000,139.786726,51.355156,119.894489,170.290966,16.403266,-30.352142,6.276813
