dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.020689,22.713284,0.023826,2.382609,119.130435,5956.521739,6.281908
0.020000,22.024166,22.713281,0.027303,0.173823,-110.439297,-11478.486570,6.282751
0.020000,22.197200,22.713405,0.200336,8.651692,423.893450,26716.637310,0.001457
0.020000,22.567533,22.714527,0.570672,18.516764,493.253601,3468.007594,0.004595
0.020000,23.085863,22.718040,1.089014,25.917093,370.016483,-6161.855915,0.008957
0.020000,23.752037,22.725861,1.755234,33.311012,369.695928,-16.027768,0.014513
0.020000,24.565838,22.740409,2.569165,40.696539,369.276370,-20.977912,0.021221
0.020000,25.526967,22.764573,3.530597,48.071609,368.753478,-26.144566,0.029031
0.020000,26.635030,22.801675,4.639281,55.434194,368.129253,-31.211250,0.037883
0.020000,27.889521,22.855416,5.894922,62.782081,367.394365,-36.744431,0.047705
0.020000,29.289807,22.929818,7.297184,70.113085,366.550191,-42.208704,0.058416
0.020000,30.835116,23.029160,8.845683,77.424963,365.593880,-47.815526,0.069923
0.020000,32.524529,23.157899,10.539994,84.715529,364.528289,-53.279554,0.082122
0.020000,34.356975,23.320591,12.379648,91.982699,363.358530,-58.487942,0.094900
0.020000,36.331232,23.521798,14.364131,99.224171,362.073590,-64.247008,0.108133
0.020000,38.445948,23.765995,16.492900,106.438449,360.713909,-67.984046,0.121688
0.020000,40.699647,24.057474,18.765370,113.623510,359.253067,-73.042125,0.135424
0.020000,43.090762,24.400241,21.180928,120.777877,357.718321,-76.737279,0.149193
0.020000,45.617668,24.797915,23.738935,127.900342,356.123278,-79.752156,0.162839
0.020000,48.278727,25.253633,26.438734,134.989954,354.480595,-82.134159,0.176202
0.020000,51.072326,25.769944,29.279644,142.045518,352.778175,-85.120993,0.189118
0.020000,53.996940,26.348724,32.260978,149.066715,351.059873,-85.915109,0.201419
0.020000,57.051177,26.991072,35.382031,156.052639,349.296177,-88.184794,0.212936
0.020000,60.210309,27.691881,38.617962,161.796553,287.195706,-3105.023551,0.223421
0.020000,63.426813,28.438701,41.920028,165.103276,165.336139,-6092.978329,0.232609
0.020000,66.654148,29.216841,45.239846,165.990928,44.382613,-6047.676306,0.240325
0.020000,69.869900,30.015885,48.553384,165.676888,-15.702005,-3004.230909,0.246517
0.020000,73.075247,30.830877,51.860718,165.366705,-15.509137,9.643424,0.251204
0.020000,76.271408,31.656962,55.161909,165.059544,-15.358056,7.554043,0.254402
0.020000,79.459625,32.489358,58.456999,164.754488,-15.252820,5.261816,0.256121
0.020000,82.641145,33.323344,61.746010,164.450568,-15.196001,2.840906,0.256366
0.020000,85.817195,34.154229,65.028946,164.146798,-15.188454,0.377373,0.255138
0.020000,88.988975,34.977341,68.305790,163.842165,-15.231652,-2.159893,0.252434
0.020000,92.157635,35.787998,71.576503,163.535682,-15.324195,-4.627173,0.248244
0.020000,95.324259,36.581494,74.841031,163.226403,-15.463926,-6.986532,0.242554
0.020000,98.489851,37.353080,78.099300,162.913453,-15.647516,-9.179495,0.235348
0.020000,101.655314,38.097950,81.351221,162.596050,-15.870125,-11.130460,0.226604
0.020000,104.821435,38.811225,84.596692,162.273548,-16.125110,-12.749267,0.216298
0.020000,107.988863,39.487947,87.835604,161.945611,-16.396852,-13.587084,0.204403
0.020000,111.158086,40.123074,91.067842,161.611870,-16.687063,-14.510532,0.190890
0.020000,114.329407,40.711476,94.293287,161.272251,-16.980936,-14.693650,0.175733
0.020000,117.502930,41.247945,97.511834,160.927356,-17.244756,-13.190997,0.158905
0.020000,120.678528,41.727208,100.723394,160.577990,-17.468280,-11.176208,0.140385
0.020000,123.855816,42.143947,103.927895,160.225076,-17.645703,-8.871173,0.120157
0.020000,127.034145,42.492832,107.125316,159.871038,-17.701890,-2.809325,0.098213
0.020000,130.212561,42.768558,110.315669,159.517627,-17.670551,1.566927,0.074560
0.020000,133.389808,42.965902,113.499039,159.168499,-17.456427,10.706184,0.049216
0.020000,136.564306,43.079781,116.675579,158.827008,-17.074559,19.093430,0.022219
0.020000,139.734156,43.105323,119.845532,158.497662,-16.467278,30.364037,6.276813
0.020000,142.897147,43.037952,123.009240,158.185416,-15.612299,42.748944,6.246711
0.020000,146.050766,42.873466,126.167146,157.895279,-14.506841,55.272926,6.215205
0.020000,149.192245,42.608126,129.319810,157.633224,-13.102785,70.202783,6.182430
0.020000,152.311064,42.239756,132.460309,157.024916,-30.415372,-865.629347,6.148629
0.020000,155.374299,41.771667,135.559101,154.939627,-104.264462,-3692.454487,6.114330
0.020000,158.334929,41.215062,138.571598,150.624859,-215.738418,-5573.697786,6.080275
0.020000,161.154915,40.586098,141.460874,144.463790,-308.053408,-4615.749550,6.047142
0.020000,163.819802,39.900138,144.212631,137.587860,-343.796522,-1787.155667,6.015326
