dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.750539,300.702877,0.023826,2.382609,119.130435,5956.521739,0.001557
0.020000,22.754837,300.702882,0.028124,0.214920,-108.384430,-11375.743238,0.000515
0.020000,22.931790,300.702723,0.205078,8.847663,431.637123,27001.077630,6.281361
0.020000,23.305185,300.701317,0.578476,18.669899,491.111813,2973.734528,6.277481
0.020000,23.827768,300.696924,1.101077,26.130071,373.008609,-5905.160229,6.272086
0.020000,24.499345,300.687158,1.772724,33.582362,372.614532,-19.703835,6.265214
0.020000,25.319631,300.669003,2.593211,41.024343,372.099075,-25.772852,6.256917
0.020000,26.288227,300.638858,3.562276,48.453258,371.445753,-32.666115,6.247256
0.020000,27.404597,300.592591,4.679605,55.866447,370.659465,-39.314390,6.236307
0.020000,28.668043,300.525600,5.944826,63.261029,369.729098,-46.518326,6.224162
0.020000,30.077678,300.432895,7.357506,70.634012,368.649104,-53.999716,6.210925
0.020000,31.632414,300.309187,8.917155,77.982461,367.422456,-61.332388,6.196714
0.020000,33.330944,300.148984,10.623224,85.303419,366.047898,-68.727892,6.181663
0.020000,35.171745,299.946708,12.475105,92.594073,364.532697,-75.760089,6.165919
0.020000,37.153079,299.696807,14.472136,99.851554,362.874092,-82.930218,6.149642
0.020000,39.273027,299.393879,16.613619,107.074120,361.128291,-87.290062,6.133003
0.020000,41.529500,299.032804,18.898798,114.258961,359.242055,-94.311813,6.116184
0.020000,43.920306,298.608859,21.326901,121.405151,357.309463,-96.629593,6.099371
0.020000,46.443194,298.117847,23.897126,128.511257,355.305346,-100.205853,6.082762
0.020000,49.095919,297.556210,26.608654,135.576414,353.257848,-102.374891,6.066553
0.020000,51.876314,296.921138,29.460656,142.600063,351.182421,-103.771327,6.050946
0.020000,54.782376,296.210670,32.452305,149.582460,349.119850,-103.128566,6.036141
0.020000,57.812330,295.423793,35.582767,156.523118,347.032931,-104.345971,6.022342
0.020000,60.941422,294.567060,38.827025,162.212882,284.488195,-3127.236797,6.009837
