dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.763382,292.452887,0.023826,2.382609,119.130435,5956.521739,0.001557
0.020000,22.759083,292.452883,0.028124,0.214920,-108.384430,-11375.743238,0.000515
0.020000,22.916741,292.452737,0.185783,7.882916,383.399805,24589.211728,6.281361
0.020000,23.258124,292.451451,0.527168,17.069270,459.317675,3795.893512,6.277481
0.020000,23.736200,292.447432,1.005261,23.904629,341.767967,-5877.485368,6.272086
0.020000,24.351093,292.438490,1.620218,30.747876,342.162327,19.717980,6.265214
0.020000,25.102939,292.421849,2.372249,37.601530,342.682717,26.019517,6.256917
0.020000,25.991870,292.394183,3.261610,44.468076,343.327298,32.229044,6.247256
0.020000,27.017996,292.351654,4.288617,51.350351,344.113767,39.323417,6.236307
0.020000,28.181386,292.289966,5.453642,58.251220,345.043461,46.484744,6.224162
0.020000,29.482049,292.204425,6.757114,65.173608,346.119376,53.795737,6.210925
0.020000,30.919915,292.090011,8.199525,72.120553,347.347240,61.393200,6.196714
0.020000,32.494825,291.941463,9.781425,79.094999,348.722307,68.753347,6.181663
0.020000,34.206517,291.753367,11.503421,86.099800,350.240067,75.888004,6.165919
0.020000,36.054621,291.520262,13.366168,93.137372,351.878576,81.925427,6.149642
0.020000,38.038679,291.236742,15.370381,100.210635,353.663166,89.229517,6.133003
0.020000,40.158131,290.897581,17.516798,107.320844,355.510463,92.364852,6.116184
0.020000,42.412367,290.497841,19.806203,114.470250,357.470278,97.990752,6.099371
0.020000,44.800748,290.032993,22.239400,121.659833,359.479171,100.444651,6.082762
0.020000,47.322648,289.499038,24.817206,128.890334,361.525024,102.292648,6.066553
0.020000,49.977513,288.892623,27.540449,136.162111,363.588840,103.190776,6.050946
0.020000,52.764933,288.211144,30.409965,143.475800,365.684487,104.782360,6.036141
0.020000,55.684696,287.452866,33.426586,150.831060,367.762980,103.924641,6.022342
0.020000,58.714279,286.623363,36.567676,157.054521,311.173073,-2829.495317,6.009837
0.020000,61.809011,285.736945,39.786854,160.958864,195.217148,-5797.796289,5.998933
0.020000,64.924676,284.810709,43.037282,162.521398,78.126658,-5854.524482,5.989827
0.020000,68.039944,283.856788,46.295327,162.902261,19.043152,-2954.175290,5.982566
0.020000,71.156230,282.880867,49.560853,163.276297,18.701816,-17.066821,5.977119
0.020000,74.275072,281.888535,52.833756,163.645164,18.443365,-12.922544,5.973460
0.020000,77.398104,280.885325,56.113964,164.010396,18.261594,-9.088526,5.971571
0.020000,80.527041,279.876740,59.401438,164.373708,18.165578,-4.800793,5.971443
0.020000,83.663649,278.868287,62.696175,164.736843,18.156787,-0.439562,5.973076
0.020000,86.809736,277.865517,65.998206,165.101546,18.235123,3.916766,5.976478
0.020000,89.967119,276.874055,69.307596,165.469524,18.398902,8.188961,5.981664
0.020000,93.137609,275.899646,72.624445,165.842418,18.644688,12.289302,5.988659
0.020000,96.322984,274.948183,75.948883,166.221922,18.975214,16.526307,5.997495
0.020000,99.524947,274.025749,79.281068,166.609237,19.365729,19.525753,6.008210
0.020000,102.745100,273.138648,82.621177,167.005485,19.812423,22.334678,6.020848
0.020000,105.984896,272.293437,85.969410,167.411626,20.307068,24.732283,6.035458
0.020000,109.245596,271.496944,89.325981,167.828530,20.845202,26.906677,6.052089
0.020000,112.528182,270.756293,92.691085,168.255234,21.335175,24.498683,6.070794
0.020000,115.833323,270.078897,96.064929,168.692205,21.848572,25.669842,6.091619
0.020000,119.161255,269.472454,99.447665,169.136804,22.229935,19.068145,6.114604
0.020000,122.511727,268.944906,102.839416,169.587526,22.536122,15.309357,6.139777
0.020000,125.883879,268.504386,106.240220,170.040212,22.634290,4.908367,6.167149
0.020000,129.276157,268.159118,109.650023,170.490147,22.496717,-6.878648,6.196708
0.020000,132.686220,267.917296,113.068650,170.931317,22.058510,-21.910314,6.228410
0.020000,136.110864,267.786916,116.495775,171.356253,21.246825,-40.584267,6.262177
0.020000,139.545972,267.775575,119.930901,171.756336,20.004145,-62.134016,0.014704
0.020000,142.986511,267.890241,123.373350,172.122451,18.305722,-84.921162,0.052195
0.020000,146.426576,268.137007,126.822255,172.445229,16.138924,-108.339894,0.091255
0.020000,149.859475,268.520842,130.276546,172.714542,13.465621,-133.665110,0.131627
0.020000,153.269340,269.043872,133.726291,172.487246,-11.364776,-1241.519896,0.172911
0.020000,156.615629,269.699922,137.136284,170.499652,-99.379699,-4400.746125,0.214365
0.020000,159.843306,270.471618,140.454930,165.932325,-228.366341,-6449.332107,0.255027
0.020000,162.908582,271.335020,143.639484,159.227676,-335.232471,-5343.306505,0.294072
0.020000,165.794724,272.267775,146.672609,151.656248,-378.571393,-2166.946095,0.331054
0.020000,168.502582,273.251521,149.553624,144.050746,-380.275117,-85.186185,0.365807
0.020000,171.034340,274.268812,152.282118,136.424708,-381.301890,-51.338683,0.398239
