dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.592802,134.235369,0.023826,2.382609,119.130435,5956.521739,0.107867
0.020000,65.626789,134.239068,0.058013,1.709352,-33.662812,-7639.662356,0.108526
0.020000,65.833868,134.261785,0.266335,10.416083,435.336526,23449.966906,0.110007
0.020000,66.178940,134.300330,0.613552,17.360881,347.239892,-4404.831696,0.112474
0.020000,66.661903,134.355725,1.099682,24.306482,347.280067,2.008751,0.115921
0.020000,67.282616,134.429394,1.724752,31.253498,347.350786,3.535958,0.120341
0.020000,68.040888,134.523162,2.488799,38.202351,347.442668,4.594105,0.125726
0.020000,68.936470,134.639243,3.391873,45.153716,347.568238,6.278487,0.132063
0.020000,69.969049,134.780236,4.434034,52.108022,347.715278,7.351983,0.139339
0.020000,71.138239,134.949105,5.615356,59.066088,347.903334,9.402803,0.147534
0.020000,72.443570,135.149173,6.935930,66.028712,348.131183,11.392479,0.156627
0.020000,73.884483,135.384097,8.395868,72.996902,348.409505,13.916105,0.166590
0.020000,75.460312,135.657848,9.995298,79.971487,348.729258,15.987638,0.177393
0.020000,77.170281,135.974682,11.734372,86.953733,349.112286,19.151374,0.188999
0.020000,79.013497,136.339111,13.613269,93.944829,349.554819,22.126678,0.201363
0.020000,80.988936,136.755866,15.632190,100.946055,350.061292,25.323645,0.214438
0.020000,83.095445,137.229854,17.791367,107.958852,350.639844,28.927579,0.228167
0.020000,85.331738,137.766113,20.091058,114.984563,351.285558,32.285732,0.242488
0.020000,87.696400,138.369757,22.531553,122.024720,352.007827,36.113462,0.257329
0.020000,90.187891,139.045927,25.113167,129.080731,352.800565,39.636859,0.272616
0.020000,92.804560,139.799723,27.836247,136.153996,353.663263,43.134909,0.288263
0.020000,95.544659,140.636146,30.701164,143.245845,354.592450,46.459376,0.304181
0.020000,98.406371,141.560030,33.708315,150.357533,355.584379,49.596439,0.320273
0.020000,101.365796,142.568274,36.834775,156.323031,298.274891,-2865.474420,0.336322
0.020000,104.377517,143.647986,40.034188,159.970610,182.378956,-5794.796742,0.352014
0.020000,107.397005,144.783184,43.260018,161.291506,66.044832,-5816.706209,0.367078
0.020000,110.402383,145.963745,46.488953,161.446770,7.763180,-2914.082592,0.381390
0.020000,113.393911,147.187249,49.721011,161.602899,7.806460,2.164023,0.394946
0.020000,116.371938,148.451287,52.956199,161.759381,7.824096,0.881776,0.407743
0.020000,119.336903,149.753467,56.194514,161.915781,7.819977,-0.205960,0.419783
0.020000,122.289321,151.091422,59.435949,162.071737,7.797828,-1.107448,0.431068
0.020000,125.229784,152.462814,62.680488,162.226960,7.761152,-1.833796,0.441600
0.020000,128.158946,153.865336,65.928112,162.381214,7.712710,-2.422094,0.451385
0.020000,131.077526,155.296718,69.178799,162.534327,7.655606,-2.855168,0.460428
0.020000,133.986296,156.754724,72.432523,162.686223,7.594817,-3.039495,0.468735
0.020000,136.886077,158.237155,75.689259,162.836798,7.528761,-3.302758,0.476312
0.020000,139.777734,159.741846,78.948980,162.986044,7.462319,-3.322142,0.483166
0.020000,141.860874,151.423548,87.524151,428.758537,13288.624640,664058.116062,3.719512
0.020000,139.939312,156.415854,92.873499,267.467373,-8064.558201,-1067659.142026,5.896107
0.020000,141.499560,156.448451,94.434087,78.029421,-9471.897622,-70366.971050,0.034115
0.020000,144.504294,156.669121,97.446914,150.641344,3630.596136,655124.687881,0.100951
0.020000,147.642208,157.041394,100.606833,157.995947,367.730175,-163143.298040,0.132075
0.020000,150.819581,157.496228,103.816596,160.488141,124.609696,-12156.023936,0.150935
0.020000,154.013123,158.004334,107.050305,161.685473,59.866618,-3237.153914,0.163905
0.020000,157.215555,158.550535,110.298983,162.433916,37.422127,-1122.224536,0.173521
0.020000,160.421083,159.125272,113.555628,162.832218,19.915094,-875.351685,0.181010
0.020000,163.630451,159.723000,116.820183,163.227753,19.776743,-6.917529,0.187057
0.020000,166.837873,160.338637,120.086154,163.298554,3.540081,-811.833132,0.192065
0.020000,170.046912,160.969922,123.356697,163.527142,11.429413,394.466633,0.196304
0.020000,173.255889,161.614305,126.629732,163.651784,6.232067,-259.867318,0.199950
0.020000,176.464406,162.269965,129.904556,163.741186,4.470124,-88.097160,0.203130
0.020000,179.672828,162.935589,133.181297,163.837029,4.792112,16.099420,0.205933
0.020000,182.881959,163.610221,136.460572,163.963776,6.337388,77.263799,0.208431
0.020000,186.087342,164.291982,139.737656,163.854196,-5.479020,-590.820423,0.210670
0.020000,189.294555,164.981274,143.018104,164.022405,8.410458,694.473916,0.212695
0.020000,192.499653,165.676591,146.297757,163.982625,-1.988993,-519.972565,0.214537
0.020000,195.706460,166.378196,149.580417,164.133023,7.519905,475.444908,0.216223
0.020000,198.909632,167.084429,152.860520,164.005130,-6.394685,-695.729470,0.217771
0.020000,202.113732,167.795865,156.142653,164.106655,5.076293,573.548875,0.219200
0.020000,205.318123,168.511993,159.426091,164.171891,3.261785,-90.725386,0.220525
0.020000,208.521392,169.232168,162.709318,164.161374,-0.525838,-189.381178,0.221757
0.020000,211.723143,169.956005,165.991871,164.127627,-1.687381,-58.077149,0.222905
0.020000,214.924767,170.683553,169.275119,164.162419,1.739610,171.349559,0.223981
0.020000,218.126098,171.414542,172.558846,164.186345,1.196308,-27.165066,0.224989
0.020000,221.327044,172.148738,175.842914,164.203424,0.853964,-17.117206,0.225938
0.020000,224.527576,172.885943,179.127252,164.216888,0.673160,-9.040208,0.226833
0.020000,227.727708,173.625987,182.411839,164.229316,0.621398,-2.588121,0.227678
0.020000,230.927492,174.368721,185.696694,164.242753,0.671854,2.522832,0.228477
0.020000,234.127009,175.114020,188.981870,164.258800,0.802375,6.526050,0.229236
0.020000,237.326362,175.861775,192.267443,164.278693,0.994655,9.613963,0.229956
0.020000,240.525116,176.611760,195.552942,164.274933,-0.188009,-59.133159,0.230642
0.020000,243.722405,177.363658,198.837453,164.225558,-2.468732,-114.036187,0.231294
0.020000,246.919679,178.117705,202.122441,164.249399,1.192035,183.038388,0.231917
0.020000,250.117102,178.873842,205.408055,164.280674,1.563764,18.586423,0.232512
0.020000,253.314839,179.632019,208.694444,164.319471,1.939835,18.803564,0.233082
0.020000,256.511630,180.391853,211.980296,164.292580,-1.344532,-164.218345,0.233627
0.020000,259.707222,181.153204,215.265332,164.251833,-2.037375,-34.642165,0.234150
0.020000,262.903471,181.916442,218.551445,164.305638,2.690244,236.380951,0.234651
0.020000,266.100477,182.681522,221.838723,164.363886,2.912397,11.107628,0.235133
0.020000,269.294708,183.447534,225.123519,164.239818,-6.203386,-455.789141,0.235596
0.020000,272.489983,184.215332,228.409747,164.311377,3.577927,489.065683,0.236042
0.020000,275.685907,184.984766,231.696989,164.362099,2.536122,-52.090282,0.236472
0.020000,278.879468,185.755055,234.982134,164.257254,-5.242271,-388.919622,0.236886
0.020000,282.074461,186.527065,238.269075,164.347057,4.490188,486.622941,0.237285
0.020000,285.268476,187.300166,241.555321,164.312303,-1.737739,-311.396365,0.237671
0.020000,288.462153,188.074466,244.841521,164.310008,-0.114736,81.150169,0.238043
0.020000,291.656669,188.850208,248.128878,164.367834,2.891311,150.302332,0.238404
0.020000,294.849237,189.626675,251.414512,164.281703,-4.306562,-359.893650,0.238752
0.020000,298.043829,190.404795,254.702503,164.399571,5.893427,509.999478,0.239089
0.020000,301.235553,191.183337,257.987808,164.265245,-6.716304,-630.486593,0.239416
0.020000,304.429491,191.963508,261.275651,164.392113,6.343399,652.985191,0.239732
0.020000,307.621038,192.744149,264.561282,164.281567,-5.527339,-593.536944,0.240039
0.020000,310.814565,193.526297,267.849195,164.395660,5.704675,561.600746,0.240337
0.020000,314.005709,194.308853,271.134890,164.284736,-5.546184,-562.542970,0.240626
0.020000,317.199006,195.092901,274.423032,164.407094,6.117868,583.202577,0.240906
0.020000,320.389639,195.877231,277.708654,164.281118,-6.298760,-620.831374,0.241179
0.020000,323.582145,196.662930,280.996421,164.388364,5.362287,583.052333,0.241443
0.020000,326.772946,197.449093,284.282645,164.311176,-3.859408,-461.084748,0.241701
0.020000,329.964556,198.236315,287.569907,164.363130,2.597712,322.856033,0.241951
0.020000,333.155775,199.024277,290.856967,164.352987,-0.507190,-155.245124,0.242195
0.020000,336.346418,199.812911,294.143630,164.333118,-0.993414,-24.311195,0.242432
0.020000,339.538292,200.602643,297.431750,164.406010,3.644595,231.900430,0.242663
0.020000,342.727923,201.392590,300.717745,164.299743,-5.313352,-447.897310,0.242888
0.020000,345.918895,202.183622,304.005302,164.377851,3.905374,460.936297,0.243107
0.020000,349.109269,202.975239,307.292419,164.355881,-1.098476,-250.192511,0.243321
0.020000,352.299092,203.767434,310.579142,164.336121,-0.988011,5.523245,0.243529
0.020000,355.490046,204.560607,313.867198,164.402802,3.334062,216.103645,0.243733
0.020000,358.679334,205.354045,317.153701,164.325166,-3.881796,-360.792920,0.243931
0.020000,361.869059,206.148256,320.440814,164.355669,1.525148,270.347231,0.244124
0.020000,365.059742,206.943353,323.729072,164.412895,2.861285,66.806841,0.244313
0.020000,368.248353,207.738566,327.015347,164.313710,-4.959221,-391.025297,0.244498
0.020000,371.437767,208.534596,330.302599,164.362636,2.446266,370.274351,0.244678
0.020000,374.627998,209.331434,333.590840,164.412033,2.469874,1.180403,0.244854
0.020000,377.816321,210.128384,336.877256,164.320784,-4.562450,-351.616202,0.245026
0.020000,381.005276,210.926069,340.164463,164.360387,1.980135,327.129262,0.245194
0.020000,384.194931,211.724491,343.452529,164.403301,2.145728,8.279616,0.245358
0.020000,387.383330,212.523150,346.739434,164.345245,-2.902835,-252.428115,0.245519
0.020000,390.571725,213.322345,350.026466,164.351577,0.316612,160.972330,0.245676
0.020000,393.760724,214.122219,353.314248,164.389122,1.877230,78.030884,0.245829
0.020000,396.949534,214.922561,356.601961,164.385659,-0.173114,-102.517182,0.245980
0.020000,400.137307,215.723145,359.888727,164.338285,-2.368741,-109.781339,0.246127
0.020000,403.325605,216.524355,363.176155,164.371380,1.654787,201.176366,0.246271
0.020000,406.514382,217.326169,366.464195,164.402006,1.531288,-6.174923,0.246412
0.020000,409.702243,218.128224,369.751405,164.360515,-2.074563,-180.292546,0.246550
0.020000,412.889821,218.930671,373.038436,164.351531,-0.449198,81.268242,0.246685
0.020000,416.077819,219.733677,376.326011,164.378775,1.362192,90.569522,0.246817
0.020000,419.266201,220.537224,379.614091,164.403964,1.259452,-5.137001,0.246947
0.020000,422.453626,221.340964,382.901290,164.359971,-2.199610,-172.953106,0.247074
0.020000,425.640857,222.145081,386.188392,164.355125,-0.242344,97.863282,0.247198
0.020000,428.828428,222.949701,389.475948,164.377765,1.132029,68.718674,0.247320
0.020000,432.016307,223.754808,392.763922,164.398690,1.046234,-4.289793,0.247439
0.020000,435.203756,224.560208,396.051550,164.381415,-0.863721,-95.497742,0.247556
0.020000,438.390547,225.365834,399.338596,164.352313,-1.455114,-29.569642,0.247671
0.020000,441.577616,226.171916,402.626023,164.371338,0.951263,120.318858,0.247783
0.020000,444.764936,226.978439,405.913801,164.388925,0.879331,-3.596623,0.247894
0.020000,447.952482,227.785389,409.201904,164.405147,0.811076,-3.412719,0.248002
0.020000,451.139111,228.592470,412.489150,164.362264,-2.144131,-147.760369,0.248108
0.020000,454.325643,229.399883,415.776383,164.361688,-0.028784,105.767359,0.248212
0.020000,457.512383,230.207698,419.063917,164.376667,0.748951,38.886769,0.248314
0.020000,460.699310,231.015903,422.351727,164.390497,0.691473,-2.873897,0.248414
0.020000,463.886403,231.824486,425.639791,164.403236,0.636946,-2.726367,0.248512
0.020000,467.072801,232.633223,428.927220,164.371439,-1.589824,-111.338519,0.248608
0.020000,470.258965,233.442224,432.214487,164.363338,-0.405067,59.237872,0.248703
0.020000,473.445285,234.251581,435.501993,164.375311,0.598659,50.186284,0.248796
0.020000,476.631745,235.061286,438.789720,164.386361,0.552517,-2.307107,0.248887
0.020000,479.818330,235.871328,442.077651,164.396536,0.508751,-2.188300,0.248976
0.020000,483.004990,236.681689,445.365734,164.404147,0.380535,-6.410765,0.249063
0.020000,486.190733,237.492112,448.652943,164.360446,-2.185072,-128.280361,0.249149
0.020000,489.376596,238.302853,451.940347,164.370196,0.487506,133.628908,0.249234
0.020000,492.562566,239.113906,455.227931,164.379201,0.450267,-1.861948,0.249316
0.020000,495.748630,239.925260,458.515681,164.387500,0.414949,-1.765923,0.249398
0.020000,498.934776,240.736909,461.803583,164.395129,0.381466,-1.674131,0.249478
0.020000,502.120994,241.548844,465.091626,164.402124,0.349738,-1.586394,0.249556
0.020000,505.306655,242.360901,468.379159,164.376657,-1.273382,-81.156015,0.249633
0.020000,508.492141,243.173171,471.666575,164.370805,-0.292573,49.040448,0.249708
0.020000,511.677701,243.985714,474.954130,164.377739,0.346709,31.964109,0.249782
0.020000,514.863325,244.798522,478.241813,164.384130,0.319518,-1.359583,0.249855
0.020000,518.049004,245.611589,481.529613,164.390005,0.293750,-1.288400,0.249926
0.020000,521.234730,246.424907,484.817520,164.395391,0.269342,-1.220362,0.249996
0.020000,524.420495,247.238471,488.105527,164.400316,0.246236,-1.155339,0.250065
0.020000,527.605926,248.052181,491.393245,164.385900,-0.720799,-48.351726,0.250133
0.020000,530.791066,248.866044,494.680720,164.373746,-0.607712,5.654373,0.250199
0.020000,533.976251,249.680141,497.968296,164.378825,0.253938,43.082492,0.250264
0.020000,537.161475,250.494466,501.255966,164.383504,0.233956,-0.999124,0.250328
0.020000,540.346730,251.309014,504.543722,164.387804,0.215032,-0.946177,0.250391
0.020000,543.532011,252.123780,507.831557,164.391747,0.197121,-0.895581,0.250452
0.020000,546.717312,252.938758,511.119464,164.395350,0.180176,-0.847241,0.250512
0.020000,549.902628,253.753942,514.407437,164.398634,0.164155,-0.801064,0.250572
0.020000,553.087849,254.569302,517.695361,164.396179,-0.122716,-14.343540,0.250630
0.020000,556.272651,255.384750,520.982900,164.376987,-0.959611,-41.844752,0.250687
0.020000,559.457476,256.200396,524.270512,164.380562,0.178743,56.917711,0.250743
0.020000,562.642319,257.016234,527.558189,164.383856,0.164713,-0.701478,0.250798
0.020000,565.827177,257.832262,530.845926,164.386885,0.151439,-0.663734,0.250852
0.020000,569.012045,258.648473,534.133720,164.389663,0.138885,-0.627685,0.250905
0.020000,572.196919,259.464864,537.421564,164.392203,0.127020,-0.593263,0.250957
0.020000,575.381796,260.281430,540.709454,164.394519,0.115812,-0.560403,0.251008
0.020000,578.566673,261.098168,543.997387,164.396624,0.105231,-0.529043,0.251058
0.020000,581.751546,261.915072,547.285357,164.398529,0.095248,-0.499120,0.251107
0.020000,584.936302,262.732112,550.573247,164.394495,-0.201686,-14.846710,0.251155
0.020000,588.120780,263.549241,553.860891,164.382208,-0.614342,-20.632792,0.251202
0.020000,591.305264,264.366531,557.148581,164.384479,0.113537,36.393946,0.251248
0.020000,594.489752,265.183977,560.436312,164.386571,0.104618,-0.445988,0.251294
0.020000,597.674240,266.001575,563.724082,164.388495,0.096189,-0.421415,0.251338
0.020000,600.858726,266.819322,567.011887,164.390260,0.088230,-0.397974,0.251382
0.020000,604.043208,267.637215,570.299725,164.391874,0.080717,-0.375619,0.251424
0.020000,607.227685,268.455249,573.587592,164.393347,0.073631,-0.354308,0.251466
0.020000,610.412153,269.273422,576.875485,164.394686,0.066951,-0.333996,0.251507
0.020000,613.596611,270.091730,580.163403,164.395899,0.060658,-0.314645,0.251547
0.020000,616.781059,270.910170,583.451343,164.396994,0.054734,-0.296216,0.251586
0.020000,619.965493,271.728739,586.739303,164.397977,0.049161,-0.278670,0.251625
0.020000,623.149900,272.547430,590.027266,164.398138,0.008082,-2.053960,0.251663
0.020000,626.334056,273.366183,593.315001,164.386787,-0.567593,-28.783745,0.251700
0.020000,629.518208,274.185059,596.602764,164.388135,0.067415,31.750421,0.251736
0.020000,632.702355,275.004054,599.890552,164.389380,0.062261,-0.257717,0.251771
0.020000,635.886496,275.823167,603.178362,164.390528,0.057397,-0.243198,0.251805
0.020000,639.070629,276.642394,606.466194,164.391584,0.052809,-0.229378,0.251839
0.020000,642.254754,277.461732,609.754045,164.392554,0.048485,-0.216226,0.251872
0.020000,645.438869,278.281178,613.041914,164.393442,0.044410,-0.203718,0.251905
0.020000,648.622974,279.100730,616.329799,164.394254,0.040574,-0.191825,0.251936
0.020000,651.807067,279.920385,619.617699,164.394993,0.036963,-0.180524,0.251967
0.020000,654.991149,280.740141,622.905612,164.395664,0.033568,-0.169789,0.251997
0.020000,658.175218,281.559994,626.193537,164.396272,0.030376,-0.159599,0.252026
0.020000,661.359273,282.379942,629.481474,164.396819,0.027377,-0.149931,0.252055
0.020000,664.543315,283.199982,632.769420,164.397310,0.024562,-0.140762,0.252083
0.020000,667.727343,284.020113,636.057375,164.397749,0.021920,-0.132074,0.252110
0.020000,670.911357,284.840331,639.345338,164.398138,0.019443,-0.123846,0.252137
0.020000,674.095331,285.660628,642.633282,164.397228,-0.045474,-3.245868,0.252163
0.020000,677.279181,286.480980,645.921121,164.391911,-0.265882,-11.020420,0.252188
0.020000,680.463025,287.301415,649.208973,164.392603,0.034612,15.024731,0.252212
0.020000,683.646860,288.121930,652.496837,164.393246,0.032160,-0.122623,0.252236
0.020000,686.830689,288.942522,655.784714,164.393843,0.029846,-0.115676,0.252259
0.020000,690.014509,289.763191,659.072602,164.394396,0.027664,-0.109094,0.252282
0.020000,693.198321,290.583932,662.360500,164.394908,0.025607,-0.102861,0.252304
0.020000,696.382124,291.404744,665.648408,164.395382,0.023668,-0.096963,0.252325
0.020000,699.565919,292.225625,668.936324,164.395819,0.021840,-0.091386,0.252346
0.020000,702.749704,293.046573,672.224249,164.396221,0.020118,-0.086117,0.252366
0.020000,705.933481,293.867585,675.512181,164.396591,0.018495,-0.081143,0.252385
0.020000,709.117249,294.688659,678.800119,164.396930,0.016966,-0.076453,0.252404
0.020000,712.301008,295.509793,682.088064,164.397241,0.015525,-0.072035,0.252422
0.020000,715.484757,296.330985,685.376015,164.397524,0.014168,-0.067878,0.252439
0.020000,718.668498,297.152233,688.663970,164.397782,0.012888,-0.063972,0.252456
0.020000,721.852230,297.973535,691.951931,164.398015,0.011682,-0.060306,0.252472
0.020000,725.035952,298.794888,695.239895,164.398226,0.010545,-0.056872,0.252488
0.020000,728.219666,299.616290,698.527863,164.398416,0.009471,-0.053659,0.252503
0.020000,731.403371,300.437741,701.815835,164.398585,0.008458,-0.050659,0.252517
0.020000,734.587067,301.259236,705.103810,164.398735,0.007501,-0.047864,0.252531
0.020000,737.770755,302.080775,708.391787,164.398867,0.006596,-0.045267,0.252544
0.020000,740.954435,302.902356,711.679767,164.398982,0.005738,-0.042858,0.252556
0.020000,744.138082,303.723970,714.967724,164.397845,-0.056845,-3.129182,0.252568
0.020000,747.321701,304.545616,718.255661,164.396885,-0.047966,0.443942,0.252580
0.020000,750.505318,305.367300,721.543606,164.397210,0.016256,3.211105,0.252590
0.020000,753.688932,306.189018,724.831556,164.397517,0.015318,-0.046869,0.252601
0.020000,756.872543,307.010769,728.119512,164.397805,0.014425,-0.044669,0.252610
0.020000,760.056152,307.832551,731.407473,164.398077,0.013572,-0.042624,0.252619
0.020000,763.239758,308.654362,734.695440,164.398332,0.012758,-0.040729,0.252628
0.020000,766.423363,309.476201,737.983412,164.398571,0.011978,-0.038980,0.252636
0.020000,769.606966,310.298064,741.271387,164.398796,0.011231,-0.037373,0.252643
0.020000,772.790567,311.119951,744.559368,164.399006,0.010513,-0.035902,0.252650
0.020000,775.974166,311.941859,747.847352,164.399203,0.009821,-0.034565,0.252656
0.020000,779.157764,312.763787,751.135339,164.399386,0.009154,-0.033358,0.252661
0.020000,782.341362,313.585732,754.423331,164.399556,0.008509,-0.032278,0.252666
0.020000,785.524958,314.407693,757.711325,164.399714,0.007882,-0.031321,0.252671
0.020000,788.708554,315.229668,760.999322,164.399859,0.007273,-0.030486,0.252674
0.020000,791.892150,316.051655,764.287322,164.399993,0.006677,-0.029769,0.252678
0.020000,795.075745,316.873652,767.575324,164.400115,0.006094,-0.029170,0.252680
0.020000,798.259341,317.695657,770.863329,164.400225,0.005520,-0.028685,0.252683
0.020000,801.442937,318.517669,774.151335,164.400324,0.004954,-0.028315,0.252684
0.020000,804.626533,319.339685,777.439343,164.400412,0.004393,-0.028057,0.252685
0.020000,807.810131,320.161703,780.727353,164.400489,0.003835,-0.027910,0.252685
0.020000,810.993730,320.983723,784.015364,164.400554,0.003277,-0.027875,0.252685
0.020000,814.177330,321.805741,787.303376,164.400608,0.002718,-0.027950,0.252685
0.020000,817.360932,322.627756,790.591389,164.400652,0.002155,-0.028136,0.252683
0.020000,820.544536,323.449766,793.879403,164.400683,0.001587,-0.028433,0.252681
0.020000,823.728141,324.271770,797.167417,164.400704,0.001010,-0.028842,0.252679
0.020000,826.911750,325.093765,800.455431,164.400712,0.000423,-0.029362,0.252676
0.020000,830.095361,325.915749,803.743446,164.400708,-0.000177,-0.029996,0.252672
0.020000,833.278990,326.737725,807.031476,164.401504,0.039781,1.997907,0.252668
0.020000,836.462628,327.559689,810.319510,164.401729,0.011248,-1.426618,0.252664
0.020000,839.646273,328.381637,813.607548,164.401907,0.008885,-0.118173,0.252658
0.020000,842.829926,329.203568,816.895590,164.402073,0.008327,-0.027913,0.252652
0.020000,846.013587,330.025480,820.183634,164.402228,0.007756,-0.028516,0.252646
0.020000,849.197256,330.847372,823.471682,164.402372,0.007172,-0.029243,0.252639
0.020000,852.380934,331.669241,826.759732,164.402503,0.006570,-0.030097,0.252631
0.020000,855.564620,332.491086,830.047784,164.402622,0.005948,-0.031081,0.252623
0.020000,858.748316,333.312904,833.335839,164.402728,0.005304,-0.032199,0.252614
0.020000,861.932021,334.134693,836.623895,164.402821,0.004635,-0.033454,0.252605
0.020000,865.115735,334.956453,839.911953,164.402900,0.003938,-0.034850,0.252595
0.020000,868.299459,335.778180,843.200013,164.402964,0.003210,-0.036392,0.252585
0.020000,871.483193,336.599873,846.488073,164.403013,0.002448,-0.038086,0.252574
0.020000,874.666937,337.421530,849.776134,164.403046,0.001650,-0.039935,0.252562
0.020000,877.850691,338.243149,853.064195,164.403062,0.000811,-0.041945,0.252550
0.020000,881.034455,339.064728,856.352256,164.403061,-0.000072,-0.044122,0.252537
0.020000,884.218230,339.886265,859.640317,164.403041,-0.001001,-0.046472,0.252523
0.020000,887.402015,340.707757,862.928377,164.403001,-0.001981,-0.049003,0.252509
0.020000,890.585811,341.529204,866.216436,164.402941,-0.003016,-0.051719,0.252494
0.020000,893.769617,342.350602,869.504493,164.402858,-0.004108,-0.054630,0.252479
0.020000,896.953435,343.171950,872.792548,164.402753,-0.005263,-0.057743,0.252463
0.020000,900.137263,343.993246,876.080601,164.402624,-0.006484,-0.061065,0.252447
0.020000,903.321102,344.814488,879.368650,164.402468,-0.007776,-0.064605,0.252430
0.020000,906.504952,345.635673,882.656696,164.402285,-0.009144,-0.068372,0.252412
0.020000,909.688812,346.456799,885.944737,164.402073,-0.010591,-0.072375,0.252393
0.020000,912.872751,347.277882,889.232843,164.405298,0.161250,8.592063,0.252374
0.020000,916.056729,348.098910,892.520974,164.406552,0.062695,-4.927737,0.252355
0.020000,919.240725,348.919874,895.809106,164.406600,0.002412,-3.014153,0.252334
0.020000,922.424738,349.740773,899.097238,164.406621,0.001044,-0.068429,0.252313
0.020000,925.608769,350.561604,902.385371,164.406613,-0.000418,-0.073056,0.252292
0.020000,928.792817,351.382365,905.673502,164.406573,-0.001977,-0.077980,0.252270
0.020000,931.976881,352.203054,908.961632,164.406501,-0.003641,-0.083214,0.252247
0.020000,935.160963,353.023668,912.249760,164.406392,-0.005417,-0.088770,0.252223
0.020000,938.345062,353.844206,915.537885,164.406246,-0.007310,-0.094662,0.252199
0.020000,941.529177,354.664664,918.826006,164.406059,-0.009328,-0.100906,0.252174
0.020000,944.713308,355.485041,922.114123,164.405830,-0.011479,-0.107515,0.252149
0.020000,947.897455,356.305334,925.402234,164.405555,-0.013769,-0.114506,0.252122
0.020000,951.081618,357.125541,928.690338,164.405230,-0.016207,-0.121894,0.252095
0.020000,954.265796,357.945659,931.978436,164.404854,-0.018800,-0.129698,0.252068
0.020000,957.449989,358.765686,935.266524,164.404423,-0.021559,-0.137934,0.252039
0.020000,960.634195,359.585619,938.554603,164.403933,-0.024492,-0.146621,0.252010
0.020000,963.818415,360.405456,941.842670,164.403381,-0.027607,-0.155778,0.251981
