dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.036890,130.134343,0.023826,2.382609,119.130435,5956.521739,0.107867
0.020000,66.073579,130.138336,0.119130,7.147826,238.260870,5956.521739,0.108526
0.020000,66.286734,130.161720,0.333565,14.295652,357.391304,5956.521739,0.110007
0.020000,66.641917,130.201394,0.690957,21.443478,357.391304,-0.000000,0.112474
0.020000,67.139006,130.258409,1.191304,28.591304,357.391304,0.000000,0.115921
0.020000,67.777826,130.334227,1.834609,35.739130,357.391304,-0.000000,0.120341
0.020000,68.558142,130.430721,2.620870,42.886957,357.391304,0.000000,0.125726
0.020000,69.479649,130.550163,3.550087,50.034783,357.391304,0.000000,0.132063
0.020000,70.541964,130.695215,4.622261,57.182609,357.391304,0.000000,0.139339
0.020000,71.744611,130.868917,5.837391,64.330435,357.391304,0.000000,0.147534
0.020000,73.087017,131.074667,7.195478,71.478261,357.391304,-0.000000,0.156627
0.020000,74.568494,131.316204,8.696522,78.626087,357.391304,0.000000,0.166590
0.020000,76.188227,131.597581,10.340522,85.773913,357.391304,0.000000,0.177393
0.020000,77.945268,131.923136,12.127478,92.921739,357.391304,-0.000000,0.188999
0.020000,79.838519,132.297457,14.057391,100.069565,357.391304,0.000000,0.201363
0.020000,81.866729,132.725345,16.130261,107.217391,357.391304,0.000000,0.214438
0.020000,84.028489,133.211763,18.346087,114.365217,357.391304,0.000000,0.228167
0.020000,86.322225,133.761795,20.704870,121.513043,357.391304,0.000000,0.242488
0.020000,88.746207,134.380581,23.206609,128.660870,357.391304,0.000000,0.257329
0.020000,91.298552,135.073264,25.851304,135.808696,357.391304,-0.000000,0.272616
0.020000,93.977244,135.844924,28.638957,142.956522,357.391304,0.000000,0.288263
0.020000,96.780144,136.700514,31.569565,150.104348,357.391304,0.000000,0.304181
0.020000,99.705028,137.644789,34.643130,157.252174,357.391304,-0.000000,0.320273
0.020000,102.727118,138.674378,37.835826,162.017391,238.260870,-5956.521739,0.336322
0.020000,105.799771,139.775930,41.100000,164.400000,119.130435,-5956.521739,0.352014
0.020000,108.877424,140.932992,44.388000,164.400000,0.000000,-5956.521739,0.367078
0.020000,111.937753,142.135134,47.676000,164.400000,0.000000,0.000000,0.381390
0.020000,114.981037,143.379802,50.964000,164.400000,0.000000,0.000000,0.394946
0.020000,118.007660,144.664462,54.252000,164.400000,0.000000,0.000000,0.407743
0.020000,121.018098,145.986610,57.540000,164.400000,0.000000,0.000000,0.419783
0.020000,124.012915,147.343776,60.828000,164.400000,0.000000,0.000000,0.431068
0.020000,126.992753,148.733529,64.116000,164.400000,0.000000,0.000000,0.441600
0.020000,129.958321,150.153480,67.404000,164.400000,0.000000,0.000000,0.451385
0.020000,132.910393,151.601285,70.692000,164.400000,0.000000,0.000000,0.460428
0.020000,135.849797,153.074644,73.980000,164.400000,0.000000,0.000000,0.468735
0.020000,138.777409,154.571301,77.268000,164.400000,0.000000,0.000000,0.476312
0.020000,141.694148,156.089041,80.556000,164.400000,0.000000,0.000000,0.483166
0.020000,139.607459,154.878653,83.844000,164.400000,0.000000,0.000000,3.719512
0.020000,138.382189,152.596038,87.132000,164.400000,0.000000,0.000000,5.896107
0.020000,141.640256,152.325851,90.420000,164.400000,0.000000,0.000000,0.034115
0.020000,144.920010,152.565122,93.708000,164.400000,0.000000,0.000000,0.100951
0.020000,148.185433,152.952320,96.996000,164.400000,0.000000,0.000000,0.132075
0.020000,151.439828,153.418126,100.284000,164.400000,0.000000,0.000000,0.150935
0.020000,154.686208,153.934619,103.572000,164.400000,0.000000,0.000000,0.163905
0.020000,157.927745,154.487481,106.860000,164.400000,0.000000,0.000000,0.173521
