dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.480978,126.033318,0.023826,2.382609,119.130435,5956.521739,0.107867
0.020000,66.520370,126.037604,0.063450,1.981188,-20.071019,-6960.072686,0.108526
0.020000,66.739600,126.061654,0.283996,11.027290,452.305092,23618.805570,0.110007
0.020000,67.104895,126.102458,0.651562,18.378336,367.552275,-4237.640865,0.112474
0.020000,67.616109,126.161093,1.166128,25.728276,367.497014,-2.763073,0.115921
0.020000,68.273036,126.239060,1.827665,33.076866,367.429527,-3.374345,0.120341
0.020000,69.075395,126.338280,2.636136,40.423557,367.334533,-4.749672,0.125726
0.020000,70.022828,126.461082,3.591495,47.767928,367.218553,-5.799029,0.132063
0.020000,71.114878,126.610194,4.693678,55.109142,367.060666,-7.894343,0.139339
0.020000,72.350983,126.788728,5.942610,62.446591,366.872472,-9.409707,0.147534
0.020000,73.730463,127.000161,7.338198,69.779445,366.642724,-11.487390,0.156627
0.020000,75.252505,127.248311,8.880336,77.106889,366.372170,-13.527680,0.166590
0.020000,76.916143,127.537315,10.568890,84.427698,366.040479,-16.584546,0.177393
0.020000,78.720254,127.871591,12.403708,91.740901,365.660109,-19.018522,0.188999
0.020000,80.663541,128.255804,14.384613,99.045242,365.217078,-22.151537,0.201363
0.020000,82.744523,128.694823,16.511401,106.339386,364.707209,-25.493461,0.214438
0.020000,84.961534,129.193673,18.783841,113.622024,364.131883,-28.766295,0.228167
0.020000,87.312712,129.757477,21.201674,120.891642,363.480920,-32.548182,0.242488
0.020000,89.796014,130.391404,23.764612,128.146880,362.761869,-35.952536,0.257329
0.020000,92.409214,131.100600,26.472337,135.386261,361.969058,-39.640552,0.272616
0.020000,95.149928,131.890125,29.324505,142.608381,361.106021,-43.151817,0.288263
0.020000,98.015629,132.764881,32.320743,149.811913,360.176599,-46.471127,0.304181
0.020000,101.003684,133.729547,35.460656,156.995666,359.187635,-49.448194,0.320273
0.020000,104.088440,134.780482,38.719518,162.943098,297.371579,-3090.802807,0.336322
0.020000,107.222025,135.903874,42.048387,166.443430,175.016597,-6117.749084,0.352014
0.020000,110.357844,137.082799,45.398494,167.505380,53.097515,-6095.954106,0.367078
0.020000,113.473123,138.306523,48.745503,167.350418,-7.748106,-3042.281040,0.381390
